T(K),P(bar),"H2O,wt%"
473.0,1000.0,6.77834
475.542,1000.0,6.76293
478.085,1000.0,6.74752
480.627,1000.0,6.7321
483.169,1000.0,6.71667
485.712,1000.0,6.70124
488.254,1000.0,6.6862
490.797,1000.0,6.6706
493.339,1000.0,6.65519
495.881,1000.0,6.63978
498.424,1000.0,6.62436
500.966,1000.0,6.60893
503.508,1000.0,6.59428
506.051,1000.0,6.56551
508.593,1000.0,6.54831
511.136,1000.0,6.53109
513.678,1000.0,6.52547
516.22,1000.0,6.50941
518.763,1000.0,6.49456
521.305,1000.0,6.45176
523.847,1000.0,6.43151
526.39,1000.0,6.41125
528.932,1000.0,6.41215
531.475,1000.0,6.39399
534.017,1000.0,6.37766
536.559,1000.0,6.35068
539.102,1000.0,6.32617
541.644,1000.0,6.2946
544.186,1000.0,6.27252
546.729,1000.0,6.25042
549.271,1000.0,6.23111
551.814,1000.0,6.23111
554.356,1000.0,6.23111
556.898,1000.0,3.78068
559.441,1000.0,3.74457
561.983,1000.0,3.70599
564.525,1000.0,3.67441
567.068,1000.0,3.65789
569.61,1000.0,3.65561
572.153,1000.0,3.65333
574.695,1000.0,3.65105
577.237,1000.0,3.64878
579.78,1000.0,3.64654
582.322,1000.0,3.64395
584.864,1000.0,3.64164
587.407,1000.0,3.63932
589.949,1000.0,3.63699
592.492,1000.0,3.63467
595.034,1000.0,3.63142
597.576,1000.0,3.62901
600.119,1000.0,3.62695
602.661,1000.0,3.62386
605.203,1000.0,3.62134
607.746,1000.0,3.61882
610.288,1000.0,3.61527
612.831,1000.0,3.61379
615.373,1000.0,3.61108
617.915,1000.0,3.60837
620.458,1000.0,3.60566
623.0,1000.0,3.60295
625.542,1000.0,3.60025
628.085,1000.0,3.59826
630.627,1000.0,3.5954
633.169,1000.0,3.59253
635.712,1000.0,3.58967
638.254,1000.0,3.58681
640.797,1000.0,3.58475
643.339,1000.0,2.34214
645.881,1000.0,2.33758
648.424,1000.0,2.33431
650.966,1000.0,2.32545
653.508,1000.0,2.31923
656.051,1000.0,2.31922
658.593,1000.0,2.30809
661.136,1000.0,2.30252
663.678,1000.0,2.29694
666.22,1000.0,2.29151
668.763,1000.0,2.2858
671.305,1000.0,2.28206
673.847,1000.0,2.28206
676.39,1000.0,2.28206
678.932,1000.0,1.99666
681.475,1000.0,1.98895
684.017,1000.0,1.98123
686.559,1000.0,1.97705
689.102,1000.0,1.96893
691.644,1000.0,1.95809
694.186,1000.0,1.95037
696.729,1000.0,1.94265
699.271,1000.0,1.93786
701.814,1000.0,1.92721
704.356,1000.0,1.91949
706.898,1000.0,1.91176
709.441,1000.0,1.90035
711.983,1000.0,1.89449
714.525,1000.0,1.87504
717.068,1000.0,1.86186
719.61,1000.0,1.83365
722.153,1000.0,1.81294
724.695,1000.0,1.80088
727.237,1000.0,1.77541
729.78,1000.0,1.76864
732.322,1000.0,1.76175
