T(K),P(bar),"H2O,wt%"
473.0,1000.0,0.329805
475.542,1000.0,0.331185
478.085,1000.0,0.336859
480.627,1000.0,0.318519
483.169,1000.0,0.325817
485.712,1000.0,0.325817
488.254,1000.0,0.311296
490.797,1000.0,0.320329
493.339,1000.0,0.320329
495.881,1000.0,0.320329
498.424,1000.0,0.320329
500.966,1000.0,0.320329
503.508,1000.0,0.296356
506.051,1000.0,0.303243
508.593,1000.0,0.303243
511.136,1000.0,0.290538
513.678,1000.0,0.290492
516.22,1000.0,0.290548
518.763,1000.0,0.290547
521.305,1000.0,0.290543
523.847,1000.0,0.290544
526.39,1000.0,0.290545
528.932,1000.0,0.290547
531.475,1000.0,0.290548
534.017,1000.0,0.290585
536.559,1000.0,0.290707
539.102,1000.0,0.290552
541.644,1000.0,0.290553
544.186,1000.0,0.290735
546.729,1000.0,0.290759
549.271,1000.0,0.290778
551.814,1000.0,0.290701
554.356,1000.0,0.290806
556.898,1000.0,0.290817
559.441,1000.0,0.29075
561.983,1000.0,0.290868
564.525,1000.0,0.290782
567.068,1000.0,0.290744
569.61,1000.0,0.29077
572.153,1000.0,0.290894
574.695,1000.0,0.290899
577.237,1000.0,0.290904
579.78,1000.0,0.290907
582.322,1000.0,0.290494
584.864,1000.0,0.290545
587.407,1000.0,0.290486
589.949,1000.0,0.29093
592.492,1000.0,0.290935
595.034,1000.0,0.290938
597.576,1000.0,0.290744
600.119,1000.0,0.290531
602.661,1000.0,0.290953
605.203,1000.0,0.290725
607.746,1000.0,0.290707
610.288,1000.0,0.2908
612.831,1000.0,0.2906
615.373,1000.0,0.290604
617.915,1000.0,0.290609
620.458,1000.0,0.2908
623.0,1000.0,0.290798
625.542,1000.0,0.290774
628.085,1000.0,0.290768
630.627,1000.0,0.290761
633.169,1000.0,0.290744
635.712,1000.0,0.290736
638.254,1000.0,0.290713
640.797,1000.0,0.290922
643.339,1000.0,0.290704
645.881,1000.0,0.29072
648.424,1000.0,0.290737
650.966,1000.0,0.290753
653.508,1000.0,0.290769
656.051,1000.0,0.290801
658.593,1000.0,0.290822
661.136,1000.0,0.29084
663.678,1000.0,0.290857
666.22,1000.0,0.290874
668.763,1000.0,0.290868
671.305,1000.0,0.290878
673.847,1000.0,0.290894
676.39,1000.0,0.290912
678.932,1000.0,0.29093
681.475,1000.0,0.290972
684.017,1000.0,0.290992
686.559,1000.0,0.291006
689.102,1000.0,0.291031
691.644,1000.0,0.291049
694.186,1000.0,0.291051
696.729,1000.0,0.291059
699.271,1000.0,0.291076
701.814,1000.0,0.291097
704.356,1000.0,0.291122
706.898,1000.0,0.291147
709.441,1000.0,0.291179
711.983,1000.0,0.291197
714.525,1000.0,0.291216
717.068,1000.0,0.291237
719.61,1000.0,0.291264
