T(K),P(bar),"H2O,wt%"
473.0,1000.0,0.835946
475.542,1000.0,0.835946
478.085,1000.0,0.835946
480.627,1000.0,0.835946
483.169,1000.0,0.835946
485.712,1000.0,0.835946
488.254,1000.0,0.835946
490.797,1000.0,0.835946
493.339,1000.0,0.835946
495.881,1000.0,0.835946
498.424,1000.0,0.835946
500.966,1000.0,0.835946
503.508,1000.0,0.835946
506.051,1000.0,0.835946
508.593,1000.0,0.835946
511.136,1000.0,0.835946
513.678,1000.0,0.835946
516.22,1000.0,0.835946
518.763,1000.0,0.835946
521.305,1000.0,0.835946
523.847,1000.0,0.835946
526.39,1000.0,0.835946
528.932,1000.0,0.835946
531.475,1000.0,0.835946
534.017,1000.0,0.835946
536.559,1000.0,0.835946
539.102,1000.0,0.835946
541.644,1000.0,0.835932
544.186,1000.0,0.835946
546.729,1000.0,0.835946
549.271,1000.0,0.835946
551.814,1000.0,0.543166
554.356,1000.0,0.543061
556.898,1000.0,0.54293
559.441,1000.0,0.542726
561.983,1000.0,0.542559
564.525,1000.0,0.542347
567.068,1000.0,0.54217
569.61,1000.0,0.541993
572.153,1000.0,0.541796
574.695,1000.0,0.541575
577.237,1000.0,0.54139
579.78,1000.0,0.541121
582.322,1000.0,0.540929
584.864,1000.0,0.540746
587.407,1000.0,0.540439
589.949,1000.0,0.540304
592.492,1000.0,0.540092
595.034,1000.0,0.539729
597.576,1000.0,0.539588
600.119,1000.0,0.539356
602.661,1000.0,0.538942
605.203,1000.0,0.538803
607.746,1000.0,0.538546
610.288,1000.0,0.538078
612.831,1000.0,0.538091
615.373,1000.0,0.538237
617.915,1000.0,0.53795
620.458,1000.0,0.537187
623.0,1000.0,0.536886
625.542,1000.0,0.536585
628.085,1000.0,0.536355
630.627,1000.0,0.536302
633.169,1000.0,0.535938
635.712,1000.0,0.535437
638.254,1000.0,0.535102
640.797,1000.0,0.534861
643.339,1000.0,0.306995
645.881,1000.0,0.306048
648.424,1000.0,0.305467
650.966,1000.0,0.304313
653.508,1000.0,0.303297
656.051,1000.0,0.302369
658.593,1000.0,0.301212
661.136,1000.0,0.300413
663.678,1000.0,0.28101
666.22,1000.0,0.260445
668.763,1000.0,0.259949
671.305,1000.0,0.259431
673.847,1000.0,0.258457
676.39,1000.0,0.2583
678.932,1000.0,0.258308
681.475,1000.0,0.258323
684.017,1000.0,0.258335
686.559,1000.0,0.258346
689.102,1000.0,0.258357
691.644,1000.0,0.258369
694.186,1000.0,0.258381
696.729,1000.0,0.258392
699.271,1000.0,0.258404
701.814,1000.0,0.258411
704.356,1000.0,0.258411
706.898,1000.0,0.258464
709.441,1000.0,0.257294
711.983,1000.0,0.255632
714.525,1000.0,0.254203
717.068,1000.0,0.252157
719.61,1000.0,0.250268
722.153,1000.0,0.248378
724.695,1000.0,0.246489
727.237,1000.0,0.244599
729.78,1000.0,0.24271
732.322,1000.0,0.241203
734.864,1000.0,0.239275
737.407,1000.0,0.237346
739.949,1000.0,0.23535
742.492,1000.0,0.23327
745.034,1000.0,0.232983
747.576,1000.0,0.232811
750.119,1000.0,0.232638
752.661,1000.0,0.232472
755.203,1000.0,0.232398
757.746,1000.0,0.232132
760.288,1000.0,0.231962
762.831,1000.0,0.231791
765.373,1000.0,0.231621
767.915,1000.0,0.231365
770.458,1000.0,0.231268
773.0,1000.0,0.231069
775.542,1000.0,0.230859
778.085,1000.0,0.230767
780.627,1000.0,0.230767
783.169,1000.0,0.230767
785.712,1000.0,0.230024
788.254,1000.0,0.229812
790.797,1000.0,0.22956
793.339,1000.0,0.229268
795.881,1000.0,0.229043
798.424,1000.0,0.228818
800.966,1000.0,0.228552
803.508,1000.0,0.228301
806.051,1000.0,0.228091
808.593,1000.0,0.228032
811.136,1000.0,0.227782
813.678,1000.0,0.227453
816.22,1000.0,0.227213
818.763,1000.0,0.226973
821.305,1000.0,0.226698
823.847,1000.0,0.226551
826.39,1000.0,0.226298
828.932,1000.0,0.226045
831.475,1000.0,0.225789
834.017,1000.0,0.225557
836.559,1000.0,0.22516
839.102,1000.0,0.225196
841.644,1000.0,0.225196
844.186,1000.0,0.225196
846.729,1000.0,0.22441
849.271,1000.0,0.224223
851.814,1000.0,0.223966
854.356,1000.0,0.223835
856.898,1000.0,0.223628
859.441,1000.0,0.22342
861.983,1000.0,0.223347
864.525,1000.0,0.222384
867.068,1000.0,0.221383
869.61,1000.0,0.22061
872.153,1000.0,0.219894
874.695,1000.0,0.218409
877.237,1000.0,0.217418
879.78,1000.0,0.216426
882.322,1000.0,0.21591
884.864,1000.0,0.213889
887.407,1000.0,0.21283
889.949,1000.0,0.21177
892.492,1000.0,0.210711
895.034,1000.0,0.209651
897.576,1000.0,0.20781
900.119,1000.0,0.208338
902.661,1000.0,0.207126
905.203,1000.0,0.205913
907.746,1000.0,0.203636
910.288,1000.0,0.202436
912.831,1000.0,0.20018
915.373,1000.0,0.199787
917.915,1000.0,0.198384
920.458,1000.0,0.196981
923.0,1000.0,0.196823
925.542,1000.0,0.19545
928.085,1000.0,0.194076
930.627,1000.0,0.192513
933.169,1000.0,0.190891
935.712,1000.0,0.189268
938.254,1000.0,0.187645
940.797,1000.0,0.186023
943.339,1000.0,0.1844
945.881,1000.0,0.182726
948.424,1000.0,0.181037
950.966,1000.0,0.179349
953.508,1000.0,0.17766
956.051,1000.0,0.175972
958.593,1000.0,0.174283
961.136,1000.0,0.172346
963.678,1000.0,0.170351
966.22,1000.0,0.168356
968.763,1000.0,0.166361
971.305,1000.0,0.164366
973.847,1000.0,0.162371
976.39,1000.0,0.160246
978.932,1000.0,0.158097
981.475,1000.0,0.155947
984.017,1000.0,0.153797
986.559,1000.0,0.151647
989.102,1000.0,0.149497
991.644,1000.0,0.147198
994.186,1000.0,0.144874
996.729,1000.0,0.142549
999.271,1000.0,0.140225
1001.81,1000.0,0.137901
1004.36,1000.0,0.135577
1006.9,1000.0,0.133134
1009.44,1000.0,0.130677
1011.98,1000.0,0.128219
1014.53,1000.0,0.125761
1017.07,1000.0,0.123303
1019.61,1000.0,0.120845
1022.15,1000.0,0.118294
1024.69,1000.0,0.115733
1027.24,1000.0,0.113172
1029.78,1000.0,0.110611
1032.32,1000.0,0.10805
1034.86,1000.0,0.105489
1037.41,1000.0,0.105327
1039.95,1000.0,0.103809
1042.49,1000.0,0.0863835
1045.03,1000.0,0.0808133
1047.58,1000.0,0.0719953
1050.12,1000.0,0.0652329
1052.66,1000.0,0.0580597
1055.2,1000.0,0.0508854
1057.75,1000.0,0.0437101
1060.29,1000.0,0.0365337
1062.83,1000.0,0.0293564
1065.37,1000.0,0.0212359
1067.92,1000.0,0.0149985
1070.46,1000.0,0.00781804
1073.0,1000.0,0.000636535
1075.54,1000.0,0.000636535
1078.08,1000.0,0.0
1080.63,1000.0,0.0
1083.17,1000.0,0.0
1085.71,1000.0,0.0
1088.25,1000.0,0.0
1090.8,1000.0,0.0
1093.34,1000.0,0.0
1095.88,1000.0,0.0
1098.42,1000.0,0.0
1100.97,1000.0,0.0
1103.51,1000.0,0.0
1106.05,1000.0,0.0
1108.59,1000.0,0.0
1111.14,1000.0,0.0
1113.68,1000.0,0.0
1116.22,1000.0,0.0
1118.76,1000.0,0.0
1121.31,1000.0,0.0
1123.85,1000.0,0.0
1126.39,1000.0,0.0
1128.93,1000.0,0.0
1131.47,1000.0,0.0
1134.02,1000.0,0.0
1136.56,1000.0,0.0
1139.1,1000.0,0.0
1141.64,1000.0,0.0
1144.19,1000.0,0.0
1146.73,1000.0,0.0
1149.27,1000.0,0.0
1151.81,1000.0,0.0
1154.36,1000.0,0.0
1156.9,1000.0,0.0
1159.44,1000.0,0.0
1161.98,1000.0,0.0
1164.53,1000.0,0.0
1167.07,1000.0,0.0
1169.61,1000.0,0.0
1172.15,1000.0,0.0
1174.69,1000.0,0.0
1177.24,1000.0,0.0
1179.78,1000.0,0.0
1182.32,1000.0,0.0
1184.86,1000.0,0.0
1187.41,1000.0,0.0
1189.95,1000.0,0.0
1192.49,1000.0,0.0
1195.03,1000.0,0.0
1197.58,1000.0,0.0
1200.12,1000.0,0.0
1202.66,1000.0,0.0
1205.2,1000.0,0.0
1207.75,1000.0,0.0
1210.29,1000.0,0.0
1212.83,1000.0,0.0
1215.37,1000.0,0.0
1217.92,1000.0,0.0
1220.46,1000.0,0.0
1223.0,1000.0,0.0
1225.54,1000.0,0.0
1228.08,1000.0,0.0
1230.63,1000.0,0.0
1233.17,1000.0,0.0
1235.71,1000.0,0.0
1238.25,1000.0,0.0
1240.8,1000.0,0.0
1243.34,1000.0,0.0
1245.88,1000.0,0.0
1248.42,1000.0,0.0
1250.97,1000.0,0.0
1253.51,1000.0,0.0
1256.05,1000.0,0.0
1258.59,1000.0,0.0
1261.14,1000.0,0.0
1263.68,1000.0,0.0
1266.22,1000.0,0.0
1268.76,1000.0,0.0
1271.31,1000.0,0.0
1273.85,1000.0,0.0
1276.39,1000.0,0.0
1278.93,1000.0,0.0
1281.47,1000.0,0.0
1284.02,1000.0,0.0
1286.56,1000.0,0.0
1289.1,1000.0,0.0
1291.64,1000.0,0.0
1294.19,1000.0,0.0
1296.73,1000.0,0.0
1299.27,1000.0,0.0
1301.81,1000.0,0.0
1304.36,1000.0,0.0
1306.9,1000.0,0.0
1309.44,1000.0,0.0
1311.98,1000.0,0.0
1314.53,1000.0,0.0
1317.07,1000.0,0.0
1319.61,1000.0,0.0
1322.15,1000.0,0.0
1324.69,1000.0,0.0
1327.24,1000.0,0.0
1329.78,1000.0,0.0
1332.32,1000.0,0.0
1334.86,1000.0,0.0
1337.41,1000.0,0.0
1339.95,1000.0,0.0
1342.49,1000.0,0.0
1345.03,1000.0,0.0
1347.58,1000.0,0.0
1350.12,1000.0,0.0
1352.66,1000.0,0.0
1355.2,1000.0,0.0
1357.75,1000.0,0.0
1360.29,1000.0,0.0
