T(K),P(bar),"H2O,wt%"
473.0,1000.0,0.0
475.542,1000.0,0.0
478.085,1000.0,0.0
480.627,1000.0,0.0
483.169,1000.0,0.0
485.712,1000.0,0.0
488.254,1000.0,0.0
490.797,1000.0,0.0
493.339,1000.0,0.0
495.881,1000.0,0.0
498.424,1000.0,0.0
500.966,1000.0,0.0
503.508,1000.0,0.0
506.051,1000.0,0.0
508.593,1000.0,0.0
511.136,1000.0,0.0
513.678,1000.0,0.0
516.22,1000.0,0.0
518.763,1000.0,0.0
521.305,1000.0,0.0
523.847,1000.0,0.0
526.39,1000.0,0.0
528.932,1000.0,0.0
531.475,1000.0,0.0
534.017,1000.0,0.0
536.559,1000.0,0.0
539.102,1000.0,0.0
541.644,1000.0,0.0
544.186,1000.0,0.0
546.729,1000.0,0.0
549.271,1000.0,0.0
551.814,1000.0,0.0
554.356,1000.0,0.0
556.898,1000.0,0.0
559.441,1000.0,0.0
561.983,1000.0,0.0
564.525,1000.0,0.0
567.068,1000.0,0.0
569.61,1000.0,0.0
572.153,1000.0,0.0
574.695,1000.0,0.0
577.237,1000.0,0.0
579.78,1000.0,0.0
582.322,1000.0,0.0
584.864,1000.0,0.0
587.407,1000.0,0.0
589.949,1000.0,0.0
592.492,1000.0,0.0
595.034,1000.0,0.0
597.576,1000.0,0.0
600.119,1000.0,0.0
602.661,1000.0,0.0
605.203,1000.0,0.0
607.746,1000.0,0.0
610.288,1000.0,0.0
612.831,1000.0,0.0
615.373,1000.0,0.0
617.915,1000.0,0.0
620.458,1000.0,0.0
623.0,1000.0,0.0
625.542,1000.0,0.0
628.085,1000.0,0.0
630.627,1000.0,0.0
633.169,1000.0,0.0
635.712,1000.0,0.0
638.254,1000.0,0.0
640.797,1000.0,0.0
643.339,1000.0,0.0
645.881,1000.0,0.0
648.424,1000.0,0.0
650.966,1000.0,0.0
653.508,1000.0,0.0
656.051,1000.0,0.0
658.593,1000.0,0.0
661.136,1000.0,0.0
663.678,1000.0,0.0
666.22,1000.0,0.0
668.763,1000.0,0.0
671.305,1000.0,0.0
673.847,1000.0,0.0
676.39,1000.0,0.0
678.932,1000.0,0.0
681.475,1000.0,0.0
684.017,1000.0,0.0
686.559,1000.0,0.0
689.102,1000.0,0.0
691.644,1000.0,0.0
694.186,1000.0,0.0
696.729,1000.0,0.0
699.271,1000.0,0.0
701.814,1000.0,0.0
704.356,1000.0,0.0
706.898,1000.0,0.0
709.441,1000.0,0.0
711.983,1000.0,0.0
714.525,1000.0,0.0
717.068,1000.0,0.0
719.61,1000.0,0.0
722.153,1000.0,0.0
724.695,1000.0,0.0
727.237,1000.0,0.0
729.78,1000.0,0.0
732.322,1000.0,0.0
734.864,1000.0,0.0
737.407,1000.0,0.0
739.949,1000.0,0.0
742.492,1000.0,0.0
745.034,1000.0,0.0
747.576,1000.0,0.0
750.119,1000.0,0.0
752.661,1000.0,0.0
755.203,1000.0,0.0
757.746,1000.0,0.0
760.288,1000.0,0.0
762.831,1000.0,0.0
765.373,1000.0,0.0
767.915,1000.0,0.0
770.458,1000.0,0.0
773.0,1000.0,0.0
775.542,1000.0,0.0
778.085,1000.0,0.0
780.627,1000.0,0.0
783.169,1000.0,0.0
785.712,1000.0,0.0
788.254,1000.0,0.0
790.797,1000.0,0.0
793.339,1000.0,0.0
795.881,1000.0,0.0
798.424,1000.0,0.0
800.966,1000.0,0.0
803.508,1000.0,0.0
806.051,1000.0,0.0
808.593,1000.0,0.0
811.136,1000.0,0.0
813.678,1000.0,0.0
816.22,1000.0,0.0
818.763,1000.0,0.0
821.305,1000.0,0.0
823.847,1000.0,0.0
826.39,1000.0,0.0
828.932,1000.0,0.0
831.475,1000.0,0.0
834.017,1000.0,0.0
836.559,1000.0,0.0
839.102,1000.0,0.0
841.644,1000.0,0.0
844.186,1000.0,0.0
846.729,1000.0,0.0
849.271,1000.0,0.0
851.814,1000.0,0.0
854.356,1000.0,0.0
856.898,1000.0,0.0
859.441,1000.0,0.0
861.983,1000.0,0.0
864.525,1000.0,0.0
867.068,1000.0,0.0
869.61,1000.0,0.0
872.153,1000.0,0.0
874.695,1000.0,0.0
