T(K),P(bar),"H2O,wt%"
473.0,1000.0,11.5543
475.542,1000.0,11.5456
478.085,1000.0,11.5368
480.627,1000.0,11.5281
483.169,1000.0,11.5194
485.712,1000.0,11.5106
488.254,1000.0,11.5021
490.797,1000.0,11.4796
493.339,1000.0,11.4689
495.881,1000.0,11.4582
498.424,1000.0,11.4475
500.966,1000.0,11.4368
503.508,1000.0,11.4266
506.051,1000.0,11.3931
508.593,1000.0,11.3775
511.136,1000.0,11.362
513.678,1000.0,11.3592
516.22,1000.0,11.3449
518.763,1000.0,11.3317
521.305,1000.0,11.2987
523.847,1000.0,11.2806
526.39,1000.0,11.2624
528.932,1000.0,11.2557
531.475,1000.0,11.2387
534.017,1000.0,11.2233
536.559,1000.0,11.2008
539.102,1000.0,11.1803
541.644,1000.0,11.1598
544.186,1000.0,11.1392
546.729,1000.0,11.1187
549.271,1000.0,11.1008
551.814,1000.0,11.0736
554.356,1000.0,11.0496
556.898,1000.0,11.0255
559.441,1000.0,11.0014
561.983,1000.0,10.9772
564.525,1000.0,10.9568
567.068,1000.0,10.8683
569.61,1000.0,10.8356
572.153,1000.0,10.8029
574.695,1000.0,10.8241
577.237,1000.0,10.7967
579.78,1000.0,10.7741
582.322,1000.0,10.723
584.864,1000.0,10.6795
587.407,1000.0,10.6359
589.949,1000.0,10.5923
592.492,1000.0,10.5487
595.034,1000.0,10.5139
597.576,1000.0,10.4285
600.119,1000.0,10.3573
602.661,1000.0,10.2861
605.203,1000.0,10.2147
607.746,1000.0,9.65797
610.288,1000.0,10.088
612.831,1000.0,9.82436
615.373,1000.0,9.60853
617.915,1000.0,8.98869
620.458,1000.0,8.81982
623.0,1000.0,9.2615
625.542,1000.0,8.48018
628.085,1000.0,8.51373
630.627,1000.0,8.29158
633.169,1000.0,8.06835
635.712,1000.0,7.95981
638.254,1000.0,7.62433
640.797,1000.0,7.51303
643.339,1000.0,7.50926
645.881,1000.0,7.50549
648.424,1000.0,7.50213
650.966,1000.0,7.49849
653.508,1000.0,7.49485
656.051,1000.0,7.49107
658.593,1000.0,7.48548
661.136,1000.0,7.48155
663.678,1000.0,7.47762
666.22,1000.0,7.47535
668.763,1000.0,7.47158
671.305,1000.0,7.46905
673.847,1000.0,7.46301
676.39,1000.0,7.45846
678.932,1000.0,7.45489
681.475,1000.0,7.45033
684.017,1000.0,7.44626
686.559,1000.0,7.44362
689.102,1000.0,7.43707
691.644,1000.0,7.43117
694.186,1000.0,7.42739
696.729,1000.0,7.42254
699.271,1000.0,7.4177
701.814,1000.0,7.4147
704.356,1000.0,7.4147
706.898,1000.0,7.4147
709.441,1000.0,7.22259
711.983,1000.0,7.21652
714.525,1000.0,7.21045
717.068,1000.0,7.20553
719.61,1000.0,7.19855
722.153,1000.0,7.18883
724.695,1000.0,7.18212
727.237,1000.0,7.17542
729.78,1000.0,7.17401
732.322,1000.0,7.162
734.864,1000.0,7.15529
737.407,1000.0,7.14858
739.949,1000.0,7.14428
742.492,1000.0,7.13662
745.034,1000.0,7.12896
747.576,1000.0,7.12479
750.119,1000.0,7.12479
752.661,1000.0,7.12479
755.203,1000.0,4.85319
757.746,1000.0,4.16198
760.288,1000.0,4.13985
762.831,1000.0,4.11746
765.373,1000.0,4.05197
767.915,1000.0,3.97425
770.458,1000.0,3.92691
773.0,1000.0,3.87951
775.542,1000.0,3.83207
778.085,1000.0,3.80864
780.627,1000.0,3.59291
783.169,1000.0,3.16203
785.712,1000.0,3.15908
788.254,1000.0,3.15578
790.797,1000.0,3.1529
793.339,1000.0,3.15043
795.881,1000.0,3.14825
798.424,1000.0,3.14797
800.966,1000.0,3.14564
803.508,1000.0,3.14338
806.051,1000.0,3.14111
808.593,1000.0,3.13921
811.136,1000.0,3.13658
813.678,1000.0,3.13431
816.22,1000.0,3.13095
818.763,1000.0,3.1287
821.305,1000.0,3.12551
823.847,1000.0,3.12439
826.39,1000.0,3.12248
828.932,1000.0,3.12056
831.475,1000.0,3.11979
834.017,1000.0,3.11413
836.559,1000.0,3.11029
839.102,1000.0,3.10966
841.644,1000.0,3.10966
844.186,1000.0,3.10966
846.729,1000.0,3.10071
849.271,1000.0,3.09806
851.814,1000.0,3.09639
854.356,1000.0,3.09316
856.898,1000.0,3.09199
859.441,1000.0,3.08835
861.983,1000.0,3.08612
864.525,1000.0,3.08294
867.068,1000.0,3.07428
869.61,1000.0,3.07175
872.153,1000.0,3.06854
874.695,1000.0,3.03656
877.237,1000.0,3.02582
879.78,1000.0,2.87657
882.322,1000.0,2.8425
884.864,1000.0,2.81827
887.407,1000.0,2.77333
889.949,1000.0,2.73888
892.492,1000.0,2.706
895.034,1000.0,2.67181
897.576,1000.0,2.62764
900.119,1000.0,2.60085
902.661,1000.0,2.54393
905.203,1000.0,2.47692
907.746,1000.0,2.5799
910.288,1000.0,2.40606
912.831,1000.0,1.02377
915.373,1000.0,0.5051
917.915,1000.0,0.499269
920.458,1000.0,0.485731
923.0,1000.0,0.477604
925.542,1000.0,0.44224
928.085,1000.0,0.440832
930.627,1000.0,0.440617
933.169,1000.0,0.440458
935.712,1000.0,0.249239
938.254,1000.0,0.247969
940.797,1000.0,0.24708
943.339,1000.0,0.246109
945.881,1000.0,0.245055
948.424,1000.0,0.244001
950.966,1000.0,0.242946
953.508,1000.0,0.241892
956.051,1000.0,0.240838
958.593,1000.0,0.240219
961.136,1000.0,0.23921
963.678,1000.0,0.238202
966.22,1000.0,0.237312
968.763,1000.0,0.236245
971.305,1000.0,0.235279
973.847,1000.0,0.234173
976.39,1000.0,0.232542
978.932,1000.0,0.231654
981.475,1000.0,0.230765
984.017,1000.0,0.229876
986.559,1000.0,0.228987
989.102,1000.0,0.227975
991.644,1000.0,0.227231
994.186,1000.0,0.226367
996.729,1000.0,0.225394
999.271,1000.0,0.224643
1001.81,1000.0,0.0
1004.36,1000.0,0.0
1006.9,1000.0,0.0
1009.44,1000.0,0.0
1011.98,1000.0,0.0
1014.53,1000.0,0.0
1017.07,1000.0,0.0
1019.61,1000.0,0.0
1022.15,1000.0,0.0
1024.69,1000.0,0.0
1027.24,1000.0,0.0
1029.78,1000.0,0.0
1032.32,1000.0,0.0
1034.86,1000.0,0.0
1037.41,1000.0,0.0
1039.95,1000.0,0.0
1042.49,1000.0,0.0
1045.03,1000.0,0.0
1047.58,1000.0,0.0
1050.12,1000.0,0.0
1052.66,1000.0,0.0
1055.2,1000.0,0.0
1057.75,1000.0,0.0
1060.29,1000.0,0.0
1062.83,1000.0,0.0
1065.37,1000.0,0.0
1067.92,1000.0,0.0
1070.46,1000.0,0.0
1073.0,1000.0,0.0
1075.54,1000.0,0.0
1078.08,1000.0,0.0
1080.63,1000.0,0.0
1083.17,1000.0,0.0
1085.71,1000.0,0.0
1088.25,1000.0,0.0
1090.8,1000.0,0.0
