T(K),P(bar),"H2O,wt%"
473.0,1000.0,2.31388
475.542,1000.0,2.31388
478.085,1000.0,2.31388
480.627,1000.0,2.31388
483.169,1000.0,2.31388
485.712,1000.0,2.31388
488.254,1000.0,2.31388
490.797,1000.0,2.31388
493.339,1000.0,2.31388
495.881,1000.0,2.31388
498.424,1000.0,2.31388
500.966,1000.0,2.31388
503.508,1000.0,2.31388
506.051,1000.0,2.31388
508.593,1000.0,2.31388
511.136,1000.0,2.31388
513.678,1000.0,2.31388
516.22,1000.0,2.31388
518.763,1000.0,2.31388
521.305,1000.0,2.31388
523.847,1000.0,2.31388
526.39,1000.0,2.31388
528.932,1000.0,2.31388
531.475,1000.0,2.31388
534.017,1000.0,2.31388
536.559,1000.0,2.31388
539.102,1000.0,2.31388
541.644,1000.0,2.31388
544.186,1000.0,2.31388
546.729,1000.0,2.31388
549.271,1000.0,2.31388
551.814,1000.0,2.04062
554.356,1000.0,2.03895
556.898,1000.0,2.03675
559.441,1000.0,1.99087
561.983,1000.0,1.96483
564.525,1000.0,1.94395
567.068,1000.0,1.92306
569.61,1000.0,1.90216
572.153,1000.0,1.88469
574.695,1000.0,1.83549
577.237,1000.0,1.8338
579.78,1000.0,1.83289
582.322,1000.0,1.83017
584.864,1000.0,1.8284
587.407,1000.0,1.82664
589.949,1000.0,1.82487
592.492,1000.0,1.82311
595.034,1000.0,1.82227
597.576,1000.0,1.8194
600.119,1000.0,1.81761
602.661,1000.0,1.81465
605.203,1000.0,1.8134
607.746,1000.0,1.81145
610.288,1000.0,1.80915
612.831,1000.0,1.80662
615.373,1000.0,1.8047
617.915,1000.0,1.80277
620.458,1000.0,1.80341
623.0,1000.0,1.80158
625.542,1000.0,1.79956
628.085,1000.0,1.79697
630.627,1000.0,1.79439
633.169,1000.0,1.79191
635.712,1000.0,1.7896
638.254,1000.0,1.78749
640.797,1000.0,1.78597
643.339,1000.0,1.54716
645.881,1000.0,1.54508
648.424,1000.0,1.54383
650.966,1000.0,1.53508
653.508,1000.0,1.53062
656.051,1000.0,1.52927
658.593,1000.0,1.52256
661.136,1000.0,1.51853
663.678,1000.0,1.5145
666.22,1000.0,1.51056
668.763,1000.0,1.50643
671.305,1000.0,1.50372
673.847,1000.0,1.50372
676.39,1000.0,1.50372
678.932,1000.0,1.3377
681.475,1000.0,1.33181
684.017,1000.0,1.32592
686.559,1000.0,1.32417
689.102,1000.0,1.31414
691.644,1000.0,1.30825
694.186,1000.0,1.30453
696.729,1000.0,1.29577
699.271,1000.0,1.29533
701.814,1000.0,1.28547
704.356,1000.0,1.26243
706.898,1000.0,1.25082
709.441,1000.0,1.24377
711.983,1000.0,1.23293
714.525,1000.0,1.22605
717.068,1000.0,1.21118
719.61,1000.0,1.20343
722.153,1000.0,1.19568
724.695,1000.0,1.19241
727.237,1000.0,1.18414
729.78,1000.0,1.17586
732.322,1000.0,1.16464
734.864,1000.0,1.15599
737.407,1000.0,1.14734
739.949,1000.0,1.13868
742.492,1000.0,1.13002
745.034,1000.0,1.12588
747.576,1000.0,1.11733
750.119,1000.0,1.10783
752.661,1000.0,1.09755
755.203,1000.0,1.08883
757.746,1000.0,1.07932
760.288,1000.0,1.06982
762.831,1000.0,1.06488
765.373,1000.0,1.06488
767.915,1000.0,1.06488
770.458,1000.0,0.872303
773.0,1000.0,0.872333
775.542,1000.0,0.868442
778.085,1000.0,0.866045
780.627,1000.0,0.865107
783.169,1000.0,0.866523
785.712,1000.0,0.865335
788.254,1000.0,0.864148
790.797,1000.0,0.86296
793.339,1000.0,0.861929
795.881,1000.0,0.861542
798.424,1000.0,0.860834
800.966,1000.0,0.859972
803.508,1000.0,0.859097
806.051,1000.0,0.856205
808.593,1000.0,0.854841
811.136,1000.0,0.853645
813.678,1000.0,0.852863
816.22,1000.0,0.852082
818.763,1000.0,0.848555
821.305,1000.0,0.848555
823.847,1000.0,0.848525
826.39,1000.0,0.848474
828.932,1000.0,0.848442
831.475,1000.0,0.822645
834.017,1000.0,0.822961
836.559,1000.0,0.82287
839.102,1000.0,0.820473
841.644,1000.0,0.819863
844.186,1000.0,0.819252
846.729,1000.0,0.818642
849.271,1000.0,0.818032
851.814,1000.0,0.817873
854.356,1000.0,0.82141
