T(K),P(bar),"H2O,wt%"
473.0,1000.0,5.45852
475.542,1000.0,5.4666
478.085,1000.0,5.47754
480.627,1000.0,5.48278
483.169,1000.0,5.49255
485.712,1000.0,5.50891
488.254,1000.0,5.50965
490.797,1000.0,5.53348
493.339,1000.0,5.53913
495.881,1000.0,5.54919
498.424,1000.0,5.55926
500.966,1000.0,5.56302
503.508,1000.0,5.60474
506.051,1000.0,5.6105
508.593,1000.0,5.62325
511.136,1000.0,5.636
513.678,1000.0,5.6437
516.22,1000.0,5.65708
518.763,1000.0,5.67318
521.305,1000.0,5.6767
523.847,1000.0,5.69152
526.39,1000.0,5.70858
528.932,1000.0,5.72116
531.475,1000.0,5.73333
534.017,1000.0,5.74928
536.559,1000.0,5.76347
539.102,1000.0,5.76919
541.644,1000.0,5.78141
544.186,1000.0,5.78141
546.729,1000.0,5.61258
549.271,1000.0,5.54336
551.814,1000.0,3.54646
554.356,1000.0,3.5568
556.898,1000.0,3.57064
559.441,1000.0,3.58225
561.983,1000.0,3.58162
564.525,1000.0,3.58087
567.068,1000.0,3.57964
569.61,1000.0,3.5785
572.153,1000.0,3.57707
574.695,1000.0,3.57594
577.237,1000.0,3.57284
579.78,1000.0,3.56415
582.322,1000.0,3.5638
584.864,1000.0,3.56357
587.407,1000.0,3.56326
589.949,1000.0,3.56275
592.492,1000.0,3.5624
595.034,1000.0,3.56204
597.576,1000.0,3.56169
600.119,1000.0,3.56108
602.661,1000.0,3.56099
605.203,1000.0,3.56043
607.746,1000.0,3.56037
610.288,1000.0,3.56036
612.831,1000.0,3.56027
615.373,1000.0,3.56028
617.915,1000.0,3.5603
620.458,1000.0,3.55898
623.0,1000.0,3.55109
625.542,1000.0,3.5427
628.085,1000.0,3.52734
630.627,1000.0,3.51418
633.169,1000.0,3.50343
635.712,1000.0,3.4835
638.254,1000.0,3.46678
640.797,1000.0,3.45294
643.339,1000.0,1.41899
645.881,1000.0,1.41552
648.424,1000.0,1.41329
650.966,1000.0,1.41137
653.508,1000.0,1.40883
656.051,1000.0,1.40597
658.593,1000.0,1.40373
661.136,1000.0,1.40076
663.678,1000.0,1.39863
666.22,1000.0,1.39618
668.763,1000.0,1.39131
671.305,1000.0,1.39083
673.847,1000.0,1.38986
676.39,1000.0,1.38919
678.932,1000.0,1.38382
681.475,1000.0,1.38148
684.017,1000.0,1.37911
686.559,1000.0,1.37681
689.102,1000.0,1.37415
691.644,1000.0,1.37232
694.186,1000.0,1.36958
696.729,1000.0,1.36709
699.271,1000.0,1.36429
701.814,1000.0,1.36198
704.356,1000.0,1.35912
706.898,1000.0,1.35554
709.441,1000.0,1.35276
711.983,1000.0,1.34998
714.525,1000.0,1.34858
717.068,1000.0,1.34288
719.61,1000.0,1.33993
722.153,1000.0,1.33698
724.695,1000.0,1.33669
727.237,1000.0,1.33365
729.78,1000.0,1.33062
732.322,1000.0,1.32744
734.864,1000.0,1.32409
737.407,1000.0,1.32073
739.949,1000.0,1.31539
742.492,1000.0,1.31202
745.034,1000.0,1.31057
747.576,1000.0,1.30707
750.119,1000.0,1.3032
752.661,1000.0,1.29771
755.203,1000.0,1.29401
757.746,1000.0,1.29208
760.288,1000.0,1.28855
762.831,1000.0,1.28467
765.373,1000.0,1.28041
767.915,1000.0,1.27616
770.458,1000.0,1.27223
773.0,1000.0,1.26836
775.542,1000.0,1.26449
778.085,1000.0,1.26019
780.627,1000.0,1.2555
783.169,1000.0,1.2508
785.712,1000.0,1.24634
788.254,1000.0,1.24208
790.797,1000.0,1.23782
793.339,1000.0,1.23307
795.881,1000.0,1.22828
798.424,1000.0,1.22336
800.966,1000.0,1.21843
803.508,1000.0,1.21351
806.051,1000.0,1.20858
808.593,1000.0,1.20336
811.136,1000.0,1.19791
813.678,1000.0,1.19245
816.22,1000.0,1.187
818.763,1000.0,1.18154
821.305,1000.0,1.17608
823.847,1000.0,1.17008
826.39,1000.0,1.1637
828.932,1000.0,1.15731
831.475,1000.0,1.14833
834.017,1000.0,1.14225
836.559,1000.0,1.13617
839.102,1000.0,1.12948
841.644,1000.0,1.12274
844.186,1000.0,1.116
846.729,1000.0,1.10926
849.271,1000.0,1.10252
851.814,1000.0,1.09155
854.356,1000.0,1.09273
856.898,1000.0,1.0853
859.441,1000.0,1.07786
861.983,1000.0,1.07043
864.525,1000.0,1.06299
867.068,1000.0,1.05555
869.61,1000.0,1.0476
872.153,1000.0,1.03939
874.695,1000.0,1.03118
877.237,1000.0,1.02296
879.78,1000.0,1.01474
882.322,1000.0,1.00652
884.864,1000.0,0.997698
887.407,1000.0,0.98859
889.949,1000.0,0.979479
892.492,1000.0,0.970368
895.034,1000.0,0.961254
897.576,1000.0,0.952139
900.119,1000.0,0.942374
902.661,1000.0,0.932342
905.203,1000.0,0.922307
907.746,1000.0,0.912271
910.288,1000.0,0.902232
912.831,1000.0,0.892191
915.373,1000.0,0.881494
917.915,1000.0,0.870557
920.458,1000.0,0.855107
923.0,1000.0,0.844258
925.542,1000.0,0.837179
928.085,1000.0,0.824153
930.627,1000.0,0.813397
933.169,1000.0,0.803618
935.712,1000.0,0.789282
938.254,1000.0,0.779447
940.797,1000.0,0.771278
943.339,1000.0,0.731911
945.881,1000.0,0.711583
948.424,1000.0,0.703211
950.966,1000.0,0.687301
953.508,1000.0,0.673452
956.051,1000.0,0.661623
958.593,1000.0,0.645398
961.136,1000.0,0.632155
963.678,1000.0,0.618908
966.22,1000.0,0.605657
968.763,1000.0,0.592403
971.305,1000.0,0.579145
973.847,1000.0,0.560244
976.39,1000.0,0.557632
978.932,1000.0,0.543389
981.475,1000.0,0.529142
984.017,1000.0,0.514892
986.559,1000.0,0.500637
989.102,1000.0,0.486378
991.644,1000.0,0.471248
994.186,1000.0,0.455974
996.729,1000.0,0.440695
999.271,1000.0,0.425411
1001.81,1000.0,0.410123
1004.36,1000.0,0.39483
1006.9,1000.0,0.378566
1009.44,1000.0,0.362173
1011.98,1000.0,0.345774
1014.53,1000.0,0.32937
1017.07,1000.0,0.312961
1019.61,1000.0,0.296546
1022.15,1000.0,0.279208
1024.69,1000.0,0.261775
1027.24,1000.0,0.244335
1029.78,1000.0,0.22689
1032.32,1000.0,0.209438
1034.86,1000.0,0.19198
1037.41,1000.0,0.173563
1039.95,1000.0,0.155073
1042.49,1000.0,0.135029
1045.03,1000.0,0.117036
1047.58,1000.0,0.080345
1050.12,1000.0,0.080345
1052.66,1000.0,0.0611623
1055.2,1000.0,0.042435
1057.75,1000.0,0.0237007
1060.29,1000.0,0.0232263
1062.83,1000.0,0.0
1065.37,1000.0,0.0
1067.92,1000.0,0.0
1070.46,1000.0,0.0
1073.0,1000.0,0.0
1075.54,1000.0,0.0
1078.08,1000.0,0.0
1080.63,1000.0,0.0
1083.17,1000.0,0.0
1085.71,1000.0,0.0
1088.25,1000.0,0.0
1090.8,1000.0,0.0
1093.34,1000.0,0.0
1095.88,1000.0,0.0
1098.42,1000.0,0.0
1100.97,1000.0,0.0
1103.51,1000.0,0.0
1106.05,1000.0,0.0
1108.59,1000.0,0.0
1111.14,1000.0,0.0
1113.68,1000.0,0.0
1116.22,1000.0,0.0
1118.76,1000.0,0.0
1121.31,1000.0,0.0
1123.85,1000.0,0.0
1126.39,1000.0,0.0
1128.93,1000.0,0.0
1131.47,1000.0,0.0
1134.02,1000.0,0.0
1136.56,1000.0,0.0
1139.1,1000.0,0.0
1141.64,1000.0,0.0
1144.19,1000.0,0.0
1146.73,1000.0,0.0
1149.27,1000.0,0.0
1151.81,1000.0,0.0
1154.36,1000.0,0.0
1156.9,1000.0,0.0
1159.44,1000.0,0.0
1161.98,1000.0,0.0
1164.53,1000.0,0.0
1167.07,1000.0,0.0
1169.61,1000.0,0.0
1172.15,1000.0,0.0
1174.69,1000.0,0.0
1177.24,1000.0,0.0
1179.78,1000.0,0.0
1182.32,1000.0,0.0
1184.86,1000.0,0.0
1187.41,1000.0,0.0
1189.95,1000.0,0.0
1192.49,1000.0,0.0
1195.03,1000.0,0.0
1197.58,1000.0,0.0
1200.12,1000.0,0.0
1202.66,1000.0,0.0
1205.2,1000.0,0.0
1207.75,1000.0,0.0
1210.29,1000.0,0.0
1212.83,1000.0,0.0
1215.37,1000.0,0.0
1217.92,1000.0,0.0
1220.46,1000.0,0.0
1223.0,1000.0,0.0
1225.54,1000.0,0.0
1228.08,1000.0,0.0
1230.63,1000.0,0.0
1233.17,1000.0,0.0
1235.71,1000.0,0.0
1238.25,1000.0,0.0
1240.8,1000.0,0.0
1243.34,1000.0,0.0
1245.88,1000.0,0.0
1248.42,1000.0,0.0
1250.97,1000.0,0.0
1253.51,1000.0,0.0
1256.05,1000.0,0.0
1258.59,1000.0,0.0
1261.14,1000.0,0.0
1263.68,1000.0,0.0
1266.22,1000.0,0.0
1268.76,1000.0,0.0
1271.31,1000.0,0.0
1273.85,1000.0,0.0
1276.39,1000.0,0.0
1278.93,1000.0,0.0
1281.47,1000.0,0.0
1284.02,1000.0,0.0
1286.56,1000.0,0.0
1289.1,1000.0,0.0
1291.64,1000.0,0.0
1294.19,1000.0,0.0
1296.73,1000.0,0.0
1299.27,1000.0,0.0
1301.81,1000.0,0.0
1304.36,1000.0,0.0
1306.9,1000.0,0.0
1309.44,1000.0,0.0
1311.98,1000.0,0.0
1314.53,1000.0,0.0
1317.07,1000.0,0.0
1319.61,1000.0,0.0
1322.15,1000.0,0.0
1324.69,1000.0,0.0
1327.24,1000.0,0.0
1329.78,1000.0,0.0
1332.32,1000.0,0.0
1334.86,1000.0,0.0
1337.41,1000.0,0.0
1339.95,1000.0,0.0
1342.49,1000.0,0.0
1345.03,1000.0,0.0
1347.58,1000.0,0.0
1350.12,1000.0,0.0
1352.66,1000.0,0.0
1355.2,1000.0,0.0
1357.75,1000.0,0.0
1360.29,1000.0,0.0
1362.83,1000.0,0.0
1365.37,1000.0,0.0
1367.92,1000.0,0.0
1370.46,1000.0,0.0
1373.0,1000.0,0.0
1375.54,1000.0,0.0
1378.08,1000.0,0.0
1380.63,1000.0,0.0
1383.17,1000.0,0.0
1385.71,1000.0,0.0
1388.25,1000.0,0.0
1390.8,1000.0,0.0
1393.34,1000.0,0.0
1395.88,1000.0,0.0
1398.42,1000.0,0.0
1400.97,1000.0,0.0
1403.51,1000.0,0.0
1406.05,1000.0,0.0
1408.59,1000.0,0.0
1411.14,1000.0,0.0
1413.68,1000.0,0.0
1416.22,1000.0,0.0
1418.76,1000.0,0.0
1421.31,1000.0,0.0
1423.85,1000.0,0.0
1426.39,1000.0,0.0
1428.93,1000.0,0.0
1431.47,1000.0,0.0
1434.02,1000.0,0.0
1436.56,1000.0,0.0
1439.1,1000.0,0.0
1441.64,1000.0,0.0
1444.19,1000.0,0.0
1446.73,1000.0,0.0
1449.27,1000.0,0.0
1451.81,1000.0,0.0
1454.36,1000.0,0.0
1456.9,1000.0,0.0
1459.44,1000.0,0.0
1461.98,1000.0,0.0
1464.53,1000.0,0.0
1467.07,1000.0,0.0
1469.61,1000.0,0.0
1472.15,1000.0,0.0
1474.69,1000.0,0.0
1477.24,1000.0,0.0
1479.78,1000.0,0.0
1482.32,1000.0,0.0
1484.86,1000.0,0.0
1487.41,1000.0,0.0
1489.95,1000.0,0.0
1492.49,1000.0,0.0
1495.03,1000.0,0.0
1497.58,1000.0,0.0
1500.12,1000.0,0.0
1502.66,1000.0,0.0
1505.2,1000.0,0.0
1507.75,1000.0,0.0
1510.29,1000.0,0.0
1512.83,1000.0,0.0
1515.37,1000.0,0.0
1517.92,1000.0,0.0
1520.46,1000.0,0.0
1523.0,1000.0,0.0
1525.54,1000.0,0.0
1528.08,1000.0,0.0
1530.63,1000.0,0.0
