T(K),P(bar),"H2O,wt%"
473.0,1000.0,5.50847
475.542,1000.0,5.50847
478.085,1000.0,5.50847
480.627,1000.0,5.50847
483.169,1000.0,5.50847
485.712,1000.0,5.50847
488.254,1000.0,5.50847
490.797,1000.0,5.50847
493.339,1000.0,5.50847
495.881,1000.0,5.50847
498.424,1000.0,5.50847
500.966,1000.0,5.50847
503.508,1000.0,5.50847
506.051,1000.0,5.50847
508.593,1000.0,5.49526
511.136,1000.0,5.48771
513.678,1000.0,5.48291
516.22,1000.0,5.48038
518.763,1000.0,5.46964
521.305,1000.0,5.46519
523.847,1000.0,5.46361
526.39,1000.0,5.45878
528.932,1000.0,5.45517
531.475,1000.0,5.44585
534.017,1000.0,5.44508
536.559,1000.0,5.4387
539.102,1000.0,5.42945
541.644,1000.0,5.42981
544.186,1000.0,5.42675
546.729,1000.0,5.24397
549.271,1000.0,5.20229
551.814,1000.0,5.20229
554.356,1000.0,5.20229
556.898,1000.0,4.54853
559.441,1000.0,4.54797
561.983,1000.0,4.54765
564.525,1000.0,4.5472
567.068,1000.0,4.54675
569.61,1000.0,4.52748
572.153,1000.0,4.48382
574.695,1000.0,4.40286
577.237,1000.0,4.39823
579.78,1000.0,4.39354
582.322,1000.0,4.38531
584.864,1000.0,4.37831
587.407,1000.0,4.37132
589.949,1000.0,4.3626
592.492,1000.0,4.35732
595.034,1000.0,4.35122
597.576,1000.0,4.34836
600.119,1000.0,4.34836
602.661,1000.0,4.34836
605.203,1000.0,4.34836
607.746,1000.0,4.34836
610.288,1000.0,4.34836
612.831,1000.0,4.34836
615.373,1000.0,4.34836
617.915,1000.0,4.34836
620.458,1000.0,4.34836
623.0,1000.0,4.34836
625.542,1000.0,4.34836
628.085,1000.0,4.34836
630.627,1000.0,4.34836
633.169,1000.0,4.34836
635.712,1000.0,4.34836
638.254,1000.0,4.34836
640.797,1000.0,4.34836
643.339,1000.0,4.34759
645.881,1000.0,4.3468
648.424,1000.0,4.34625
650.966,1000.0,4.34521
653.508,1000.0,4.34439
656.051,1000.0,4.34386
658.593,1000.0,4.34386
661.136,1000.0,4.34197
663.678,1000.0,4.34114
666.22,1000.0,4.34033
668.763,1000.0,4.33952
671.305,1000.0,4.33906
673.847,1000.0,4.33791
676.39,1000.0,4.33711
678.932,1000.0,4.33631
681.475,1000.0,4.33551
684.017,1000.0,4.33422
686.559,1000.0,4.33393
689.102,1000.0,4.3331
691.644,1000.0,4.33229
694.186,1000.0,4.33147
696.729,1000.0,4.33065
699.271,1000.0,4.32834
701.814,1000.0,4.32363
704.356,1000.0,4.32023
706.898,1000.0,4.31677
709.441,1000.0,4.31321
711.983,1000.0,4.13104
714.525,1000.0,4.12762
717.068,1000.0,4.12061
719.61,1000.0,4.11511
722.153,1000.0,4.11157
724.695,1000.0,4.10605
727.237,1000.0,4.0998
729.78,1000.0,4.09355
732.322,1000.0,4.08999
734.864,1000.0,4.01904
737.407,1000.0,4.02986
739.949,1000.0,3.91889
742.492,1000.0,3.81114
745.034,1000.0,3.72402
747.576,1000.0,3.69716
750.119,1000.0,3.68505
752.661,1000.0,3.67282
755.203,1000.0,3.6663
757.746,1000.0,3.64957
760.288,1000.0,3.63818
762.831,1000.0,3.63227
765.373,1000.0,1.27025
767.915,1000.0,1.26819
770.458,1000.0,1.26493
773.0,1000.0,1.26242
775.542,1000.0,1.2608
778.085,1000.0,1.25896
780.627,1000.0,1.25896
783.169,1000.0,1.25533
785.712,1000.0,1.25335
788.254,1000.0,1.25137
790.797,1000.0,1.2494
793.339,1000.0,1.24861
795.881,1000.0,1.24676
798.424,1000.0,1.24491
800.966,1000.0,1.24313
803.508,1000.0,1.24137
806.051,1000.0,1.23924
808.593,1000.0,1.23583
811.136,1000.0,1.23489
813.678,1000.0,1.2333
816.22,1000.0,1.2312
818.763,1000.0,1.22967
821.305,1000.0,1.22749
823.847,1000.0,1.22663
826.39,1000.0,1.22517
828.932,1000.0,1.22371
831.475,1000.0,1.22312
834.017,1000.0,0.987284
836.559,1000.0,0.986857
839.102,1000.0,0.986068
841.644,1000.0,0.985409
844.186,1000.0,0.984849
846.729,1000.0,0.98424
849.271,1000.0,0.983631
851.814,1000.0,0.983218
854.356,1000.0,0.982255
856.898,1000.0,0.981675
859.441,1000.0,0.981095
861.983,1000.0,0.980892
864.525,1000.0,0.98031
867.068,1000.0,0.97986
869.61,1000.0,0.978815
872.153,1000.0,0.978296
874.695,1000.0,0.977777
877.237,1000.0,0.977471
879.78,1000.0,0.976936
882.322,1000.0,0.97652
884.864,1000.0,0.975788
887.407,1000.0,0.975282
889.949,1000.0,0.974776
892.492,1000.0,0.974194
895.034,1000.0,0.973689
897.576,1000.0,0.973184
900.119,1000.0,0.972687
902.661,1000.0,0.972193
905.203,1000.0,0.971699
907.746,1000.0,0.971205
910.288,1000.0,0.970712
912.831,1000.0,0.970218
915.373,1000.0,0.969732
917.915,1000.0,0.969249
920.458,1000.0,0.968767
923.0,1000.0,0.968284
925.542,1000.0,0.967802
928.085,1000.0,0.967319
930.627,1000.0,0.966846
933.169,1000.0,0.966375
935.712,1000.0,0.965905
938.254,1000.0,0.965434
940.797,1000.0,0.964964
943.339,1000.0,0.964493
945.881,1000.0,0.964031
948.424,1000.0,0.963571
950.966,1000.0,0.963167
953.508,1000.0,0.962706
956.051,1000.0,0.962196
958.593,1000.0,0.961642
961.136,1000.0,0.961303
963.678,1000.0,0.960827
966.22,1000.0,0.960297
968.763,1000.0,0.959937
971.305,1000.0,0.959632
973.847,1000.0,0.88627
976.39,1000.0,0.828599
978.932,1000.0,0.782524
981.475,1000.0,0.547823
984.017,1000.0,0.289306
986.559,1000.0,0.0
989.102,1000.0,0.0
991.644,1000.0,0.0
994.186,1000.0,0.0
996.729,1000.0,0.0
999.271,1000.0,0.0
1001.81,1000.0,0.0
1004.36,1000.0,0.0
1006.9,1000.0,0.0
1009.44,1000.0,0.0
1011.98,1000.0,0.0
1014.53,1000.0,0.0
1017.07,1000.0,0.0
1019.61,1000.0,0.0
1022.15,1000.0,0.0
1024.69,1000.0,0.0
1027.24,1000.0,0.0
1029.78,1000.0,0.0
1032.32,1000.0,0.0
1034.86,1000.0,0.0
1037.41,1000.0,0.0
1039.95,1000.0,0.0
1042.49,1000.0,0.0
1045.03,1000.0,0.0
1047.58,1000.0,0.0
1050.12,1000.0,0.0
1052.66,1000.0,0.0
1055.2,1000.0,0.0
1057.75,1000.0,0.0
1060.29,1000.0,0.0
1062.83,1000.0,0.0
1065.37,1000.0,0.0
1067.92,1000.0,0.0
1070.46,1000.0,0.0
1073.0,1000.0,0.0
1075.54,1000.0,0.0
1078.08,1000.0,0.0
1080.63,1000.0,0.0
1083.17,1000.0,0.0
1085.71,1000.0,0.0
1088.25,1000.0,0.0
1090.8,1000.0,0.0
1093.34,1000.0,0.0
1095.88,1000.0,0.0
1098.42,1000.0,0.0
1100.97,1000.0,0.0
1103.51,1000.0,0.0
1106.05,1000.0,0.0
1108.59,1000.0,0.0
1111.14,1000.0,0.0
1113.68,1000.0,0.0
1116.22,1000.0,0.0
1118.76,1000.0,0.0
1121.31,1000.0,0.0
1123.85,1000.0,0.0
1126.39,1000.0,0.0
1128.93,1000.0,0.0
1131.47,1000.0,0.0
1134.02,1000.0,0.0
1136.56,1000.0,0.0
1139.1,1000.0,0.0
1141.64,1000.0,0.0
1144.19,1000.0,0.0
1146.73,1000.0,0.0
1149.27,1000.0,0.0
1151.81,1000.0,0.0
1154.36,1000.0,0.0
1156.9,1000.0,0.0
1159.44,1000.0,0.0
1161.98,1000.0,0.0
1164.53,1000.0,0.0
1167.07,1000.0,0.0
1169.61,1000.0,0.0
1172.15,1000.0,0.0
1174.69,1000.0,0.0
1177.24,1000.0,0.0
1179.78,1000.0,0.0
1182.32,1000.0,0.0
1184.86,1000.0,0.0
1187.41,1000.0,0.0
1189.95,1000.0,0.0
1192.49,1000.0,0.0
1195.03,1000.0,0.0
1197.58,1000.0,0.0
1200.12,1000.0,0.0
1202.66,1000.0,0.0
1205.2,1000.0,0.0
1207.75,1000.0,0.0
1210.29,1000.0,0.0
1212.83,1000.0,0.0
1215.37,1000.0,0.0
1217.92,1000.0,0.0
1220.46,1000.0,0.0
1223.0,1000.0,0.0
1225.54,1000.0,0.0
1228.08,1000.0,0.0
1230.63,1000.0,0.0
1233.17,1000.0,0.0
1235.71,1000.0,0.0
1238.25,1000.0,0.0
1240.8,1000.0,0.0
1243.34,1000.0,0.0
1245.88,1000.0,0.0
1248.42,1000.0,0.0
1250.97,1000.0,0.0
1253.51,1000.0,0.0
1256.05,1000.0,0.0
1258.59,1000.0,0.0
1261.14,1000.0,0.0
1263.68,1000.0,0.0
1266.22,1000.0,0.0
1268.76,1000.0,0.0
1271.31,1000.0,0.0
1273.85,1000.0,0.0
1276.39,1000.0,0.0
1278.93,1000.0,0.0
1281.47,1000.0,0.0
1284.02,1000.0,0.0
1286.56,1000.0,0.0
1289.1,1000.0,0.0
1291.64,1000.0,0.0
1294.19,1000.0,0.0
1296.73,1000.0,0.0
1299.27,1000.0,0.0
1301.81,1000.0,0.0
1304.36,1000.0,0.0
1306.9,1000.0,0.0
1309.44,1000.0,0.0
1311.98,1000.0,0.0
1314.53,1000.0,0.0
1317.07,1000.0,0.0
1319.61,1000.0,0.0
1322.15,1000.0,0.0
1324.69,1000.0,0.0
1327.24,1000.0,0.0
1329.78,1000.0,0.0
1332.32,1000.0,0.0
1334.86,1000.0,0.0
1337.41,1000.0,0.0
1339.95,1000.0,0.0
1342.49,1000.0,0.0
1345.03,1000.0,0.0
1347.58,1000.0,0.0
1350.12,1000.0,0.0
1352.66,1000.0,0.0
1355.2,1000.0,0.0
1357.75,1000.0,0.0
1360.29,1000.0,0.0
1362.83,1000.0,0.0
1365.37,1000.0,0.0
1367.92,1000.0,0.0
1370.46,1000.0,0.0
1373.0,1000.0,0.0
1375.54,1000.0,0.0
1378.08,1000.0,0.0
1380.63,1000.0,0.0
1383.17,1000.0,0.0
1385.71,1000.0,0.0
1388.25,1000.0,0.0
1390.8,1000.0,0.0
1393.34,1000.0,0.0
1395.88,1000.0,0.0
1398.42,1000.0,0.0
1400.97,1000.0,0.0
1403.51,1000.0,0.0
1406.05,1000.0,0.0
1408.59,1000.0,0.0
1411.14,1000.0,0.0
1413.68,1000.0,0.0
1416.22,1000.0,0.0
1418.76,1000.0,0.0
1421.31,1000.0,0.0
1423.85,1000.0,0.0
1426.39,1000.0,0.0
1428.93,1000.0,0.0
1431.47,1000.0,0.0
1434.02,1000.0,0.0
1436.56,1000.0,0.0
1439.1,1000.0,0.0
1441.64,1000.0,0.0
1444.19,1000.0,0.0
1446.73,1000.0,0.0
1449.27,1000.0,0.0
1451.81,1000.0,0.0
1454.36,1000.0,0.0
1456.9,1000.0,0.0
1459.44,1000.0,0.0
1461.98,1000.0,0.0
1464.53,1000.0,0.0
1467.07,1000.0,0.0
1469.61,1000.0,0.0
1472.15,1000.0,0.0
1474.69,1000.0,0.0
1477.24,1000.0,0.0
1479.78,1000.0,0.0
1482.32,1000.0,0.0
1484.86,1000.0,0.0
1487.41,1000.0,0.0
1489.95,1000.0,0.0
1492.49,1000.0,0.0
1495.03,1000.0,0.0
1497.58,1000.0,0.0
1500.12,1000.0,0.0
1502.66,1000.0,0.0
1505.2,1000.0,0.0
1507.75,1000.0,0.0
1510.29,1000.0,0.0
1512.83,1000.0,0.0
1515.37,1000.0,0.0
1517.92,1000.0,0.0
1520.46,1000.0,0.0
1523.0,1000.0,0.0
1525.54,1000.0,0.0
1528.08,1000.0,0.0
1530.63,1000.0,0.0
1533.17,1000.0,0.0
1535.71,1000.0,0.0
1538.25,1000.0,0.0
1540.8,1000.0,0.0
1543.34,1000.0,0.0
1545.88,1000.0,0.0
1548.42,1000.0,0.0
1550.97,1000.0,0.0
1553.51,1000.0,0.0
1556.05,1000.0,0.0
1558.59,1000.0,0.0
1561.14,1000.0,0.0
1563.68,1000.0,0.0
1566.22,1000.0,0.0
1568.76,1000.0,0.0
1571.31,1000.0,0.0
1573.85,1000.0,0.0
1576.39,1000.0,0.0
1578.93,1000.0,0.0
1581.47,1000.0,0.0
1584.02,1000.0,0.0
1586.56,1000.0,0.0
1589.1,1000.0,0.0
1591.64,1000.0,0.0
1594.19,1000.0,0.0
1596.73,1000.0,0.0
1599.27,1000.0,0.0
1601.81,1000.0,0.0
1604.36,1000.0,0.0
1606.9,1000.0,0.0
1609.44,1000.0,0.0
1611.98,1000.0,0.0
1614.53,1000.0,0.0
1617.07,1000.0,0.0
1619.61,1000.0,0.0
1622.15,1000.0,0.0
1624.69,1000.0,0.0
1627.24,1000.0,0.0
1629.78,1000.0,0.0
1632.32,1000.0,0.0
1634.86,1000.0,0.0
1637.41,1000.0,0.0
1639.95,1000.0,0.0
1642.49,1000.0,0.0
1645.03,1000.0,0.0
1647.58,1000.0,0.0
1650.12,1000.0,0.0
1652.66,1000.0,0.0
1655.2,1000.0,0.0
1657.75,1000.0,0.0
1660.29,1000.0,0.0
1662.83,1000.0,0.0
1665.37,1000.0,0.0
1667.92,1000.0,0.0
1670.46,1000.0,0.0
1673.0,1000.0,0.0
473.0,1047.25,5.50847
475.542,1047.25,5.50847
478.085,1047.25,5.50847
480.627,1047.25,5.50847
483.169,1047.25,5.50847
485.712,1047.25,5.50847
488.254,1047.25,5.50847
490.797,1047.25,5.50847
493.339,1047.25,5.50847
495.881,1047.25,5.50847
498.424,1047.25,5.50847
500.966,1047.25,5.50847
503.508,1047.25,5.50847
506.051,1047.25,5.50847
508.593,1047.25,5.49757
511.136,1047.25,5.49043
513.678,1047.25,5.48468
516.22,1047.25,5.48212
518.763,1047.25,5.47707
521.305,1047.25,5.46707
523.847,1047.25,5.46568
526.39,1047.25,5.46086
528.932,1047.25,5.4572
531.475,1047.25,5.44829
534.017,1047.25,5.44273
536.559,1047.25,5.44147
539.102,1047.25,5.43739
541.644,1047.25,5.43209
544.186,1047.25,5.42675
546.729,1047.25,5.24032
549.271,1047.25,5.20128
551.814,1047.25,5.20229
554.356,1047.25,5.20229
556.898,1047.25,4.54862
559.441,1047.25,4.5473
561.983,1047.25,4.54685
564.525,1047.25,4.5464
567.068,1047.25,4.54595
569.61,1047.25,4.51672
572.153,1047.25,4.48382
574.695,1047.25,4.40286
577.237,1047.25,4.3944
579.78,1047.25,4.38867
582.322,1047.25,4.38183
584.864,1047.25,4.37472
587.407,1047.25,4.36839
589.949,1047.25,4.36072
592.492,1047.25,4.35698
595.034,1047.25,4.35122
597.576,1047.25,4.34836
600.119,1047.25,4.34836
602.661,1047.25,4.34836
605.203,1047.25,4.34836
607.746,1047.25,4.34836
610.288,1047.25,4.34836
612.831,1047.25,4.34836
615.373,1047.25,4.34836
617.915,1047.25,4.34836
620.458,1047.25,4.34836
623.0,1047.25,4.34836
625.542,1047.25,4.34836
628.085,1047.25,4.34836
630.627,1047.25,4.34836
633.169,1047.25,4.34836
635.712,1047.25,4.34836
638.254,1047.25,4.34836
640.797,1047.25,4.34836
643.339,1047.25,4.34674
645.881,1047.25,4.34598
648.424,1047.25,4.34511
650.966,1047.25,4.34436
653.508,1047.25,4.34341
656.051,1047.25,4.34273
658.593,1047.25,4.34386
661.136,1047.25,4.34114
663.678,1047.25,4.34035
666.22,1047.25,4.3393
668.763,1047.25,4.33849
671.305,1047.25,4.33763
673.847,1047.25,4.3371
676.39,1047.25,4.33611
678.932,1047.25,4.33561
681.475,1047.25,4.33474
684.017,1047.25,4.33422
686.559,1047.25,4.33314
689.102,1047.25,4.33236
691.644,1047.25,4.33151
694.186,1047.25,4.33058
696.729,1047.25,4.32993
699.271,1047.25,4.32834
701.814,1047.25,4.32244
704.356,1047.25,4.32079
706.898,1047.25,4.31739
709.441,1047.25,4.31379
711.983,1047.25,4.13104
714.525,1047.25,4.12747
717.068,1047.25,4.12194
719.61,1047.25,4.11763
722.153,1047.25,4.11095
724.695,1047.25,4.10759
727.237,1047.25,4.10115
729.78,1047.25,4.0952
732.322,1047.25,4.08878
734.864,1047.25,4.01904
737.407,1047.25,4.02986
739.949,1047.25,3.91889
742.492,1047.25,3.81114
745.034,1047.25,3.72402
747.576,1047.25,3.69716
750.119,1047.25,3.68505
752.661,1047.25,3.67546
755.203,1047.25,3.66487
757.746,1047.25,3.65412
760.288,1047.25,3.64273
762.831,1047.25,3.63084
765.373,1047.25,1.27025
767.915,1047.25,1.26879
770.458,1047.25,1.26626
773.0,1047.25,1.26366
775.542,1047.25,1.26134
778.085,1047.25,1.25885
780.627,1047.25,1.25896
783.169,1047.25,1.25612
785.712,1047.25,1.2534
788.254,1047.25,1.25216
790.797,1047.25,1.25019
793.339,1047.25,1.24873
795.881,1047.25,1.24748
798.424,1047.25,1.24563
800.966,1047.25,1.24382
803.508,1047.25,1.24206
806.051,1047.25,1.23838
808.593,1047.25,1.23653
811.136,1047.25,1.23557
813.678,1047.25,1.23398
816.22,1047.25,1.23201
818.763,1047.25,1.23047
821.305,1047.25,1.2291
823.847,1047.25,1.22742
826.39,1047.25,1.22601
828.932,1047.25,1.2246
831.475,1047.25,1.22302
834.017,1047.25,0.987348
836.559,1047.25,0.987189
839.102,1047.25,0.986573
841.644,1047.25,0.985919
844.186,1047.25,0.985384
846.729,1047.25,0.984745
849.271,1047.25,0.98409
851.814,1047.25,0.983647
854.356,1047.25,0.982912
856.898,1047.25,0.982332
859.441,1047.25,0.981668
861.983,1047.25,0.981034
864.525,1047.25,0.980392
867.068,1047.25,0.979822
869.61,1047.25,0.979404
872.153,1047.25,0.978884
874.695,1047.25,0.978365
877.237,1047.25,0.978141
879.78,1047.25,0.977606
882.322,1047.25,0.976897
884.864,1047.25,0.976164
887.407,1047.25,0.975658
889.949,1047.25,0.975152
892.492,1047.25,0.974678
895.034,1047.25,0.974173
897.576,1047.25,0.973668
900.119,1047.25,0.973185
902.661,1047.25,0.972691
905.203,1047.25,0.972197
907.746,1047.25,0.971703
910.288,1047.25,0.97121
912.831,1047.25,0.970737
915.373,1047.25,0.970251
917.915,1047.25,0.969769
920.458,1047.25,0.969286
923.0,1047.25,0.968804
925.542,1047.25,0.968321
928.085,1047.25,0.967859
930.627,1047.25,0.967385
933.169,1047.25,0.966915
935.712,1047.25,0.966444
938.254,1047.25,0.965974
940.797,1047.25,0.965504
943.339,1047.25,0.965052
945.881,1047.25,0.96459
948.424,1047.25,0.96413
950.966,1047.25,0.963991
953.508,1047.25,0.963559
956.051,1047.25,0.963145
958.593,1047.25,0.962159
961.136,1047.25,0.961965
963.678,1047.25,0.961623
966.22,1047.25,0.960939
968.763,1047.25,0.960538
971.305,1047.25,0.960403
973.847,1047.25,0.875275
976.39,1047.25,0.884909
978.932,1047.25,0.821859
981.475,1047.25,0.547823
984.017,1047.25,0.289306
986.559,1047.25,0.0
989.102,1047.25,0.0
991.644,1047.25,0.0
994.186,1047.25,0.0
996.729,1047.25,0.0
999.271,1047.25,0.0
1001.81,1047.25,0.0
1004.36,1047.25,0.0
1006.9,1047.25,0.0
1009.44,1047.25,0.0
1011.98,1047.25,0.0
1014.53,1047.25,0.0
1017.07,1047.25,0.0
1019.61,1047.25,0.0
1022.15,1047.25,0.0
1024.69,1047.25,0.0
1027.24,1047.25,0.0
1029.78,1047.25,0.0
1032.32,1047.25,0.0
1034.86,1047.25,0.0
1037.41,1047.25,0.0
1039.95,1047.25,0.0
1042.49,1047.25,0.0
1045.03,1047.25,0.0
1047.58,1047.25,0.0
1050.12,1047.25,0.0
1052.66,1047.25,0.0
1055.2,1047.25,0.0
1057.75,1047.25,0.0
1060.29,1047.25,0.0
1062.83,1047.25,0.0
1065.37,1047.25,0.0
1067.92,1047.25,0.0
1070.46,1047.25,0.0
1073.0,1047.25,0.0
1075.54,1047.25,0.0
1078.08,1047.25,0.0
1080.63,1047.25,0.0
1083.17,1047.25,0.0
1085.71,1047.25,0.0
1088.25,1047.25,0.0
1090.8,1047.25,0.0
1093.34,1047.25,0.0
1095.88,1047.25,0.0
1098.42,1047.25,0.0
1100.97,1047.25,0.0
1103.51,1047.25,0.0
1106.05,1047.25,0.0
1108.59,1047.25,0.0
1111.14,1047.25,0.0
1113.68,1047.25,0.0
1116.22,1047.25,0.0
1118.76,1047.25,0.0
1121.31,1047.25,0.0
1123.85,1047.25,0.0
1126.39,1047.25,0.0
1128.93,1047.25,0.0
1131.47,1047.25,0.0
1134.02,1047.25,0.0
1136.56,1047.25,0.0
1139.1,1047.25,0.0
1141.64,1047.25,0.0
1144.19,1047.25,0.0
1146.73,1047.25,0.0
1149.27,1047.25,0.0
1151.81,1047.25,0.0
1154.36,1047.25,0.0
1156.9,1047.25,0.0
1159.44,1047.25,0.0
1161.98,1047.25,0.0
1164.53,1047.25,0.0
1167.07,1047.25,0.0
1169.61,1047.25,0.0
1172.15,1047.25,0.0
1174.69,1047.25,0.0
1177.24,1047.25,0.0
1179.78,1047.25,0.0
1182.32,1047.25,0.0
1184.86,1047.25,0.0
1187.41,1047.25,0.0
1189.95,1047.25,0.0
1192.49,1047.25,0.0
1195.03,1047.25,0.0
1197.58,1047.25,0.0
1200.12,1047.25,0.0
1202.66,1047.25,0.0
1205.2,1047.25,0.0
1207.75,1047.25,0.0
1210.29,1047.25,0.0
1212.83,1047.25,0.0
1215.37,1047.25,0.0
1217.92,1047.25,0.0
1220.46,1047.25,0.0
1223.0,1047.25,0.0
1225.54,1047.25,0.0
1228.08,1047.25,0.0
1230.63,1047.25,0.0
1233.17,1047.25,0.0
1235.71,1047.25,0.0
1238.25,1047.25,0.0
1240.8,1047.25,0.0
1243.34,1047.25,0.0
1245.88,1047.25,0.0
1248.42,1047.25,0.0
1250.97,1047.25,0.0
1253.51,1047.25,0.0
1256.05,1047.25,0.0
1258.59,1047.25,0.0
1261.14,1047.25,0.0
1263.68,1047.25,0.0
1266.22,1047.25,0.0
1268.76,1047.25,0.0
