T(K),P(bar),"H2O,wt%"
473.0,1000.0,1.7299
475.542,1000.0,1.7299
478.085,1000.0,1.7299
480.627,1000.0,1.7299
483.169,1000.0,1.7299
485.712,1000.0,1.7299
488.254,1000.0,1.7299
490.797,1000.0,1.7299
493.339,1000.0,1.7299
495.881,1000.0,1.7299
498.424,1000.0,1.7299
500.966,1000.0,1.7299
503.508,1000.0,1.7299
506.051,1000.0,1.7299
508.593,1000.0,1.7299
511.136,1000.0,1.7299
513.678,1000.0,1.7299
516.22,1000.0,1.7299
518.763,1000.0,1.7299
521.305,1000.0,1.7299
523.847,1000.0,1.7299
526.39,1000.0,1.7299
528.932,1000.0,1.7299
531.475,1000.0,1.7299
534.017,1000.0,1.7299
536.559,1000.0,1.7299
539.102,1000.0,1.7299
541.644,1000.0,1.7299
544.186,1000.0,1.7299
546.729,1000.0,1.7299
549.271,1000.0,1.7299
551.814,1000.0,1.7299
554.356,1000.0,1.7299
556.898,1000.0,1.7299
559.441,1000.0,1.7299
561.983,1000.0,1.7299
564.525,1000.0,1.7299
567.068,1000.0,1.7299
569.61,1000.0,1.7299
572.153,1000.0,1.7299
574.695,1000.0,1.7299
577.237,1000.0,1.7299
579.78,1000.0,1.7299
582.322,1000.0,1.7299
584.864,1000.0,1.7299
587.407,1000.0,1.7299
589.949,1000.0,1.7299
592.492,1000.0,1.7299
595.034,1000.0,1.7299
597.576,1000.0,1.7299
600.119,1000.0,1.7299
602.661,1000.0,1.7299
605.203,1000.0,1.7299
607.746,1000.0,1.7299
610.288,1000.0,1.7299
612.831,1000.0,1.7299
615.373,1000.0,1.7299
617.915,1000.0,1.7299
620.458,1000.0,1.7299
623.0,1000.0,1.7299
625.542,1000.0,1.7299
628.085,1000.0,1.7299
630.627,1000.0,1.7299
633.169,1000.0,1.7299
635.712,1000.0,1.7299
638.254,1000.0,1.7299
640.797,1000.0,1.7299
643.339,1000.0,1.7299
645.881,1000.0,1.7299
648.424,1000.0,1.7299
650.966,1000.0,1.7299
653.508,1000.0,1.7299
656.051,1000.0,1.7299
658.593,1000.0,1.7299
661.136,1000.0,1.7299
663.678,1000.0,1.7299
666.22,1000.0,1.7299
668.763,1000.0,1.7299
671.305,1000.0,1.7299
673.847,1000.0,1.7299
676.39,1000.0,1.7299
678.932,1000.0,1.7299
681.475,1000.0,1.7299
684.017,1000.0,1.7299
686.559,1000.0,1.7299
689.102,1000.0,1.7299
691.644,1000.0,1.7299
694.186,1000.0,1.7299
696.729,1000.0,1.7299
699.271,1000.0,1.7299
701.814,1000.0,1.7299
704.356,1000.0,1.7299
706.898,1000.0,1.7299
709.441,1000.0,1.7299
711.983,1000.0,1.7299
714.525,1000.0,1.7299
717.068,1000.0,1.7299
719.61,1000.0,1.7299
722.153,1000.0,1.7299
724.695,1000.0,1.7299
727.237,1000.0,1.7299
729.78,1000.0,1.7299
732.322,1000.0,1.7299
734.864,1000.0,1.7299
737.407,1000.0,1.7299
739.949,1000.0,1.7299
