T(K),P(bar),"H2O,wt%"
473.0,1000.0,0.796692
475.542,1000.0,0.796692
478.085,1000.0,0.796692
480.627,1000.0,0.796692
483.169,1000.0,0.796692
485.712,1000.0,0.796692
488.254,1000.0,0.796692
490.797,1000.0,0.796692
493.339,1000.0,0.796692
495.881,1000.0,0.796692
498.424,1000.0,0.796692
500.966,1000.0,0.796692
503.508,1000.0,0.796692
506.051,1000.0,0.796692
508.593,1000.0,0.796692
511.136,1000.0,0.796692
513.678,1000.0,0.796692
516.22,1000.0,0.796692
518.763,1000.0,0.796692
521.305,1000.0,0.796692
523.847,1000.0,0.796692
526.39,1000.0,0.796692
528.932,1000.0,0.796692
531.475,1000.0,0.796692
534.017,1000.0,0.796692
536.559,1000.0,0.796692
539.102,1000.0,0.796692
541.644,1000.0,0.796692
544.186,1000.0,0.796692
546.729,1000.0,0.796692
549.271,1000.0,0.796692
551.814,1000.0,0.796692
554.356,1000.0,0.796692
556.898,1000.0,0.796692
559.441,1000.0,0.796692
561.983,1000.0,0.796692
564.525,1000.0,0.796692
567.068,1000.0,0.796692
569.61,1000.0,0.796692
572.153,1000.0,0.796692
574.695,1000.0,0.796692
577.237,1000.0,0.796692
579.78,1000.0,0.796692
582.322,1000.0,0.796692
584.864,1000.0,0.796692
587.407,1000.0,0.796692
589.949,1000.0,0.796692
592.492,1000.0,0.796692
595.034,1000.0,0.796692
597.576,1000.0,0.796692
600.119,1000.0,0.796692
602.661,1000.0,0.796692
605.203,1000.0,0.796692
607.746,1000.0,0.796692
610.288,1000.0,0.796692
612.831,1000.0,0.796692
615.373,1000.0,0.796692
617.915,1000.0,0.796692
620.458,1000.0,0.796692
623.0,1000.0,0.796692
625.542,1000.0,0.796692
628.085,1000.0,0.796692
630.627,1000.0,0.796692
633.169,1000.0,0.796692
635.712,1000.0,0.796692
638.254,1000.0,0.796692
640.797,1000.0,0.796692
643.339,1000.0,0.796692
645.881,1000.0,0.796692
648.424,1000.0,0.796692
650.966,1000.0,0.796692
653.508,1000.0,0.796692
656.051,1000.0,0.796692
658.593,1000.0,0.796692
661.136,1000.0,0.796692
663.678,1000.0,0.796692
666.22,1000.0,0.796692
668.763,1000.0,0.796692
671.305,1000.0,0.796692
673.847,1000.0,0.796692
676.39,1000.0,0.796692
678.932,1000.0,0.796692
681.475,1000.0,0.796692
684.017,1000.0,0.796692
686.559,1000.0,0.796692
689.102,1000.0,0.796692
691.644,1000.0,0.796692
694.186,1000.0,0.796692
696.729,1000.0,0.796692
699.271,1000.0,0.796692
701.814,1000.0,0.796692
704.356,1000.0,0.796692
706.898,1000.0,0.796692
709.441,1000.0,0.796692
711.983,1000.0,0.796692
714.525,1000.0,0.796692
717.068,1000.0,0.796692
719.61,1000.0,0.796692
722.153,1000.0,0.796692
724.695,1000.0,0.796692
727.237,1000.0,0.796692
729.78,1000.0,0.796692
732.322,1000.0,0.796692
734.864,1000.0,0.796692
737.407,1000.0,0.796692
739.949,1000.0,0.796692
742.492,1000.0,0.796692
745.034,1000.0,0.796692
747.576,1000.0,0.796692
750.119,1000.0,0.796692
752.661,1000.0,0.796692
755.203,1000.0,0.796692
757.746,1000.0,0.796692
760.288,1000.0,0.796692
762.831,1000.0,0.796692
765.373,1000.0,0.796692
767.915,1000.0,0.796692
770.458,1000.0,0.796692
773.0,1000.0,0.796692
775.542,1000.0,0.796692
778.085,1000.0,0.796692
780.627,1000.0,0.796692
783.169,1000.0,0.796692
785.712,1000.0,0.796692
788.254,1000.0,0.796692
790.797,1000.0,0.796692
793.339,1000.0,0.796692
795.881,1000.0,0.796692
798.424,1000.0,0.796692
800.966,1000.0,0.796853
803.508,1000.0,0.796853
806.051,1000.0,0.796853
808.593,1000.0,0.796853
811.136,1000.0,0.796853
813.678,1000.0,0.796853
816.22,1000.0,0.796853
818.763,1000.0,0.796853
821.305,1000.0,0.796853
823.847,1000.0,0.796853
826.39,1000.0,0.796853
828.932,1000.0,0.796853
831.475,1000.0,0.796853
834.017,1000.0,0.796853
836.559,1000.0,0.796853
839.102,1000.0,0.796853
841.644,1000.0,0.796853
844.186,1000.0,0.796853
846.729,1000.0,0.796853
849.271,1000.0,0.796853
851.814,1000.0,0.796853
854.356,1000.0,0.796853
856.898,1000.0,0.796853
859.441,1000.0,0.772131
861.983,1000.0,0.762752
864.525,1000.0,0.752771
867.068,1000.0,0.733642
869.61,1000.0,0.721407
872.153,1000.0,0.704403
874.695,1000.0,0.680403
877.237,1000.0,0.664137
879.78,1000.0,0.650524
882.322,1000.0,0.617085
884.864,1000.0,0.628884
887.407,1000.0,0.610035
889.949,1000.0,0.591179
892.492,1000.0,0.541035
895.034,1000.0,0.522004
897.576,1000.0,0.53404
900.119,1000.0,0.497483
902.661,1000.0,0.475859
905.203,1000.0,0.454226
907.746,1000.0,0.432584
910.288,1000.0,0.410932
912.831,1000.0,0.389271
915.373,1000.0,0.383511
917.915,1000.0,0.383511
920.458,1000.0,0.303591
923.0,1000.0,0.302891
925.542,1000.0,0.30219
928.085,1000.0,0.301048
930.627,1000.0,0.30009
933.169,1000.0,0.299213
935.712,1000.0,0.298291
938.254,1000.0,0.297362
940.797,1000.0,0.296435
943.339,1000.0,0.29551
945.881,1000.0,0.294561
948.424,1000.0,0.293647
950.966,1000.0,0.292732
953.508,1000.0,0.291819
956.051,1000.0,0.290892
958.593,1000.0,0.289815
