T(K),P(bar),"H2O,wt%"
473.0,1000.0,3.31754
475.542,1000.0,3.31754
478.085,1000.0,3.31754
480.627,1000.0,3.31754
483.169,1000.0,3.31754
485.712,1000.0,3.31754
488.254,1000.0,3.31754
490.797,1000.0,3.31754
493.339,1000.0,3.31754
495.881,1000.0,3.31754
498.424,1000.0,3.31754
500.966,1000.0,3.31754
503.508,1000.0,3.31754
506.051,1000.0,3.31754
508.593,1000.0,3.31754
511.136,1000.0,3.31754
513.678,1000.0,3.31754
516.22,1000.0,3.31754
518.763,1000.0,3.31754
521.305,1000.0,3.31754
523.847,1000.0,3.31754
526.39,1000.0,3.31754
528.932,1000.0,3.31754
531.475,1000.0,3.31754
534.017,1000.0,3.31754
536.559,1000.0,3.31754
539.102,1000.0,3.31754
541.644,1000.0,3.31754
544.186,1000.0,3.31754
546.729,1000.0,3.31754
549.271,1000.0,3.31754
551.814,1000.0,3.31754
554.356,1000.0,3.31754
556.898,1000.0,3.31754
559.441,1000.0,3.31754
561.983,1000.0,3.31754
564.525,1000.0,3.31754
567.068,1000.0,3.31754
569.61,1000.0,3.31754
572.153,1000.0,3.31754
574.695,1000.0,3.31754
577.237,1000.0,3.31754
579.78,1000.0,3.31754
582.322,1000.0,3.31754
584.864,1000.0,3.31754
587.407,1000.0,3.31754
589.949,1000.0,3.31754
592.492,1000.0,3.31754
595.034,1000.0,3.31754
597.576,1000.0,3.31754
600.119,1000.0,3.31754
602.661,1000.0,3.31754
605.203,1000.0,3.31754
607.746,1000.0,3.31754
610.288,1000.0,3.31754
612.831,1000.0,3.31754
615.373,1000.0,3.31754
617.915,1000.0,3.31754
620.458,1000.0,3.31754
623.0,1000.0,3.31754
625.542,1000.0,3.31754
628.085,1000.0,3.31754
630.627,1000.0,3.31754
633.169,1000.0,3.31754
635.712,1000.0,3.31754
638.254,1000.0,3.31754
640.797,1000.0,3.31754
643.339,1000.0,3.31754
645.881,1000.0,3.31754
648.424,1000.0,2.91517
650.966,1000.0,2.91431
653.508,1000.0,2.91342
656.051,1000.0,2.91314
658.593,1000.0,2.91169
661.136,1000.0,2.91082
663.678,1000.0,2.91078
666.22,1000.0,2.90908
668.763,1000.0,2.90822
671.305,1000.0,2.90735
673.847,1000.0,2.90648
676.39,1000.0,2.90611
678.932,1000.0,2.90475
681.475,1000.0,2.90396
684.017,1000.0,2.9031
686.559,1000.0,2.90222
689.102,1000.0,2.89937
691.644,1000.0,2.89937
694.186,1000.0,2.89937
696.729,1000.0,2.89937
699.271,1000.0,2.89937
701.814,1000.0,2.89397
704.356,1000.0,2.89397
706.898,1000.0,2.89397
709.441,1000.0,2.88267
711.983,1000.0,2.88267
714.525,1000.0,2.88267
717.068,1000.0,2.88267
719.61,1000.0,2.88267
722.153,1000.0,2.88267
724.695,1000.0,2.86668
727.237,1000.0,2.86668
729.78,1000.0,2.86668
732.322,1000.0,2.86451
734.864,1000.0,2.86451
737.407,1000.0,2.86451
739.949,1000.0,2.01058
742.492,1000.0,2.00983
745.034,1000.0,2.00905
747.576,1000.0,2.00751
750.119,1000.0,2.00671
752.661,1000.0,2.00591
755.203,1000.0,2.0043
757.746,1000.0,2.00347
760.288,1000.0,2.00263
762.831,1000.0,1.99876
765.373,1000.0,2.00006
767.915,1000.0,1.99698
770.458,1000.0,1.99518
773.0,1000.0,1.99648
775.542,1000.0,1.99333
778.085,1000.0,1.99141
780.627,1000.0,1.9927
783.169,1000.0,1.98945
785.712,1000.0,1.98973
788.254,1000.0,1.98869
790.797,1000.0,1.98732
793.339,1000.0,1.98599
795.881,1000.0,1.98459
798.424,1000.0,1.98362
800.966,1000.0,1.95287
803.508,1000.0,1.95043
806.051,1000.0,1.94846
808.593,1000.0,1.89541
811.136,1000.0,1.80309
813.678,1000.0,1.71434
816.22,1000.0,1.56494
818.763,1000.0,1.47958
821.305,1000.0,1.36985
823.847,1000.0,1.25988
826.39,1000.0,1.14967
828.932,1000.0,1.05363
831.475,1000.0,0.944803
834.017,1000.0,0.835739
836.559,1000.0,0.726434
839.102,1000.0,0.683476
841.644,1000.0,0.670057
844.186,1000.0,0.669267
846.729,1000.0,0.667612
849.271,1000.0,0.666373
851.814,1000.0,0.665131
854.356,1000.0,0.663905
856.898,1000.0,0.66268
859.441,1000.0,0.661436
861.983,1000.0,0.660204
864.525,1000.0,0.658972
867.068,1000.0,0.657733
869.61,1000.0,0.656584
872.153,1000.0,0.655349
874.695,1000.0,0.654114
877.237,1000.0,0.652809
879.78,1000.0,0.650017
882.322,1000.0,0.650017
884.864,1000.0,0.649162
887.407,1000.0,0.647887
