T(K),P(bar),"H2O,wt%"
473.0,1000.0,4.89834
475.542,1000.0,4.89834
478.085,1000.0,4.89834
480.627,1000.0,4.89834
483.169,1000.0,4.89834
485.712,1000.0,4.89834
488.254,1000.0,4.89834
490.797,1000.0,4.89834
493.339,1000.0,4.89834
495.881,1000.0,4.89834
498.424,1000.0,4.89834
500.966,1000.0,4.89834
503.508,1000.0,4.89834
506.051,1000.0,4.89834
508.593,1000.0,4.89834
511.136,1000.0,4.89834
513.678,1000.0,4.89834
516.22,1000.0,4.89834
518.763,1000.0,4.89834
521.305,1000.0,4.89834
523.847,1000.0,4.89834
526.39,1000.0,4.89834
528.932,1000.0,4.89834
531.475,1000.0,4.89834
534.017,1000.0,4.89834
536.559,1000.0,4.89834
539.102,1000.0,4.81801
541.644,1000.0,4.77801
544.186,1000.0,4.77772
546.729,1000.0,4.77727
549.271,1000.0,4.7771
551.814,1000.0,4.77659
554.356,1000.0,4.77607
556.898,1000.0,4.77556
559.441,1000.0,4.77504
561.983,1000.0,4.77452
564.525,1000.0,4.77244
567.068,1000.0,4.7724
569.61,1000.0,4.77121
572.153,1000.0,4.77106
574.695,1000.0,4.77194
577.237,1000.0,4.77143
579.78,1000.0,4.771
582.322,1000.0,4.76985
584.864,1000.0,4.76888
587.407,1000.0,4.7679
589.949,1000.0,4.76693
592.492,1000.0,4.76595
595.034,1000.0,4.76518
597.576,1000.0,4.89834
600.119,1000.0,4.89834
602.661,1000.0,4.89834
605.203,1000.0,4.89834
607.746,1000.0,4.89834
610.288,1000.0,4.89834
612.831,1000.0,4.89834
615.373,1000.0,4.89834
617.915,1000.0,4.89834
620.458,1000.0,4.89834
623.0,1000.0,4.89834
625.542,1000.0,4.89834
628.085,1000.0,3.74688
630.627,1000.0,3.74556
633.169,1000.0,3.74469
635.712,1000.0,3.74293
638.254,1000.0,3.74151
640.797,1000.0,3.74053
643.339,1000.0,3.74053
645.881,1000.0,3.7359
648.424,1000.0,3.06354
650.966,1000.0,3.06276
653.508,1000.0,3.06195
656.051,1000.0,3.06167
658.593,1000.0,3.06038
661.136,1000.0,3.05959
663.678,1000.0,3.05952
666.22,1000.0,3.05802
668.763,1000.0,3.05723
671.305,1000.0,3.05645
673.847,1000.0,3.05566
676.39,1000.0,3.0553
678.932,1000.0,3.05409
681.475,1000.0,3.05336
684.017,1000.0,3.0526
686.559,1000.0,3.05192
689.102,1000.0,3.04921
691.644,1000.0,3.04921
694.186,1000.0,3.04921
696.729,1000.0,3.04921
699.271,1000.0,3.04921
701.814,1000.0,3.04451
704.356,1000.0,3.04451
706.898,1000.0,3.04451
709.441,1000.0,3.03463
711.983,1000.0,3.03463
714.525,1000.0,3.03463
717.068,1000.0,3.03463
719.61,1000.0,3.03463
722.153,1000.0,3.03463
724.695,1000.0,3.02085
727.237,1000.0,3.02085
729.78,1000.0,3.02085
732.322,1000.0,3.02005
734.864,1000.0,1.78848
737.407,1000.0,1.95129
739.949,1000.0,1.94979
742.492,1000.0,1.94903
745.034,1000.0,1.94825
747.576,1000.0,1.94669
750.119,1000.0,1.94591
752.661,1000.0,1.9451
755.203,1000.0,1.94346
757.746,1000.0,1.94263
760.288,1000.0,1.9418
762.831,1000.0,1.93805
765.373,1000.0,1.93922
767.915,1000.0,1.93629
770.458,1000.0,1.93448
773.0,1000.0,1.93378
775.542,1000.0,1.93262
778.085,1000.0,1.9307
780.627,1000.0,1.93187
783.169,1000.0,1.92875
785.712,1000.0,1.9289
788.254,1000.0,1.92786
790.797,1000.0,1.9265
793.339,1000.0,1.92516
795.881,1000.0,1.92377
798.424,1000.0,1.92281
800.966,1000.0,1.88896
803.508,1000.0,1.88663
806.051,1000.0,1.88471
808.593,1000.0,1.84762
811.136,1000.0,1.75687
813.678,1000.0,1.66938
816.22,1000.0,1.52236
818.763,1000.0,1.4432
821.305,1000.0,1.3365
823.847,1000.0,1.22957
826.39,1000.0,1.12241
828.932,1000.0,1.00324
831.475,1000.0,0.904348
834.017,1000.0,0.799531
836.559,1000.0,0.729775
839.102,1000.0,0.709279
841.644,1000.0,0.708085
844.186,1000.0,0.706649
846.729,1000.0,0.70534
849.271,1000.0,0.704039
851.814,1000.0,0.70269
854.356,1000.0,0.701396
856.898,1000.0,0.700059
859.441,1000.0,0.698743
861.983,1000.0,0.697428
864.525,1000.0,0.696112
867.068,1000.0,0.694866
869.61,1000.0,0.69348
872.153,1000.0,0.69217
874.695,1000.0,0.690853
877.237,1000.0,0.689535
879.78,1000.0,0.688218
882.322,1000.0,0.686901
884.864,1000.0,0.686484
887.407,1000.0,0.676555
889.949,1000.0,0.660793
892.492,1000.0,0.645651
895.034,1000.0,0.629253
897.576,1000.0,0.614494
900.119,1000.0,0.598642
902.661,1000.0,0.582675
905.203,1000.0,0.566702
907.746,1000.0,0.550725
910.288,1000.0,0.514504
912.831,1000.0,0.514504
915.373,1000.0,0.502477
917.915,1000.0,0.490033
920.458,1000.0,0.481408
923.0,1000.0,0.481309
925.542,1000.0,0.480502
928.085,1000.0,0.480026
930.627,1000.0,0.479625
933.169,1000.0,0.479166
935.712,1000.0,0.478708
938.254,1000.0,0.478249
940.797,1000.0,0.477791
943.339,1000.0,0.477333
945.881,1000.0,0.476865
948.424,1000.0,0.476394
950.966,1000.0,0.475903
953.508,1000.0,0.475439
956.051,1000.0,0.474974
958.593,1000.0,0.474509
961.136,1000.0,0.474421
963.678,1000.0,0.474421
966.22,1000.0,0.171151
968.763,1000.0,0.170957
971.305,1000.0,0.170759
973.847,1000.0,0.170407
976.39,1000.0,0.170135
978.932,1000.0,0.169863
981.475,1000.0,0.169591
984.017,1000.0,0.169319
986.559,1000.0,0.169047
989.102,1000.0,0.168775
991.644,1000.0,0.168494
994.186,1000.0,0.168211
996.729,1000.0,0.167928
999.271,1000.0,0.167646
1001.81,1000.0,0.167363
1004.36,1000.0,0.167081
1006.9,1000.0,0.166791
1009.44,1000.0,0.1665
1011.98,1000.0,0.166209
1014.53,1000.0,0.165918
1017.07,1000.0,0.165627
1019.61,1000.0,0.165336
1022.15,1000.0,0.165037
1024.69,1000.0,0.164738
1027.24,1000.0,0.164439
1029.78,1000.0,0.16414
1032.32,1000.0,0.163841
1034.86,1000.0,0.163541
1037.41,1000.0,0.163232
1039.95,1000.0,0.162921
1042.49,1000.0,0.162611
1045.03,1000.0,0.16227
1047.58,1000.0,0.161963
1050.12,1000.0,0.1617
1052.66,1000.0,0.161346
1055.2,1000.0,0.161032
1057.75,1000.0,0.160718
1060.29,1000.0,0.160437
1062.83,1000.0,0.160127
1065.37,1000.0,0.159744
1067.92,1000.0,0.159494
1070.46,1000.0,0.159171
1073.0,1000.0,0.158848
1075.54,1000.0,0.158526
1078.08,1000.0,0.158203
1080.63,1000.0,0.157898
1083.17,1000.0,0.15754
1085.71,1000.0,0.157214
1088.25,1000.0,0.156889
1090.8,1000.0,0.156589
1093.34,1000.0,0.156267
1095.88,1000.0,0.155956
1098.42,1000.0,0.155611
1100.97,1000.0,0.155279
1103.51,1000.0,0.154947
1106.05,1000.0,0.154615
1108.59,1000.0,0.154282
1111.14,1000.0,0.153982
1113.68,1000.0,0.153605
1116.22,1000.0,0.153271
1118.76,1000.0,0.152928
1121.31,1000.0,0.152593
1123.85,1000.0,0.152289
1126.39,1000.0,0.151986
1128.93,1000.0,0.151618
1131.47,1000.0,0.15128
1134.02,1000.0,0.150942
1136.56,1000.0,0.150604
1139.1,1000.0,0.149967
1141.64,1000.0,0.149922
1144.19,1000.0,0.149584
1146.73,1000.0,0.149245
1149.27,1000.0,0.148949
1151.81,1000.0,0.139606
1154.36,1000.0,0.127733
1156.9,1000.0,0.111521
1159.44,1000.0,0.0897493
1161.98,1000.0,0.0711746
1164.53,1000.0,0.0550738
1167.07,1000.0,0.0264348
1169.61,1000.0,0.0139101
1172.15,1000.0,0.0
1174.69,1000.0,0.0
1177.24,1000.0,0.0
1179.78,1000.0,0.0
1182.32,1000.0,0.0
1184.86,1000.0,0.0
1187.41,1000.0,0.0
1189.95,1000.0,0.0
1192.49,1000.0,0.0
1195.03,1000.0,0.0
1197.58,1000.0,0.0
1200.12,1000.0,0.0
1202.66,1000.0,0.0
1205.2,1000.0,0.0
1207.75,1000.0,0.0
1210.29,1000.0,0.0
1212.83,1000.0,0.0
1215.37,1000.0,0.0
1217.92,1000.0,0.0
1220.46,1000.0,0.0
1223.0,1000.0,0.0
1225.54,1000.0,0.0
1228.08,1000.0,0.0
1230.63,1000.0,0.0
1233.17,1000.0,0.0
1235.71,1000.0,0.0
1238.25,1000.0,0.0
1240.8,1000.0,0.0
1243.34,1000.0,0.0
1245.88,1000.0,0.0
1248.42,1000.0,0.0
1250.97,1000.0,0.0
1253.51,1000.0,0.0
1256.05,1000.0,0.0
1258.59,1000.0,0.0
1261.14,1000.0,0.0
1263.68,1000.0,0.0
1266.22,1000.0,0.0
1268.76,1000.0,0.0
1271.31,1000.0,0.0
1273.85,1000.0,0.0
1276.39,1000.0,0.0
1278.93,1000.0,0.0
1281.47,1000.0,0.0
1284.02,1000.0,0.0
1286.56,1000.0,0.0
1289.1,1000.0,0.0
1291.64,1000.0,0.0
1294.19,1000.0,0.0
1296.73,1000.0,0.0
1299.27,1000.0,0.0
1301.81,1000.0,0.0
1304.36,1000.0,0.0
1306.9,1000.0,0.0
1309.44,1000.0,0.0
1311.98,1000.0,0.0
1314.53,1000.0,0.0
1317.07,1000.0,0.0
1319.61,1000.0,0.0
1322.15,1000.0,0.0
1324.69,1000.0,0.0
1327.24,1000.0,0.0
1329.78,1000.0,0.0
1332.32,1000.0,0.0
1334.86,1000.0,0.0
1337.41,1000.0,0.0
1339.95,1000.0,0.0
1342.49,1000.0,0.0
1345.03,1000.0,0.0
1347.58,1000.0,0.0
1350.12,1000.0,0.0
1352.66,1000.0,0.0
1355.2,1000.0,0.0
1357.75,1000.0,0.0
1360.29,1000.0,0.0
1362.83,1000.0,0.0
1365.37,1000.0,0.0
1367.92,1000.0,0.0
1370.46,1000.0,0.0
1373.0,1000.0,0.0
1375.54,1000.0,0.0
1378.08,1000.0,0.0
1380.63,1000.0,0.0
1383.17,1000.0,0.0
1385.71,1000.0,0.0
1388.25,1000.0,0.0
1390.8,1000.0,0.0
1393.34,1000.0,0.0
1395.88,1000.0,0.0
1398.42,1000.0,0.0
1400.97,1000.0,0.0
1403.51,1000.0,0.0
1406.05,1000.0,0.0
1408.59,1000.0,0.0
